;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ALAGOA GRANDE;Prefeito;13;JOSÉ WAMBERTO DO;BETO DO;PT / ALAGOA GRANDE UNIDA I;1837;Não eleito
;2016;1º Turno;ALAGOA GRANDE;Vereador;45123;FABRÍCIO DA SILVA FERREIRA;FABRÍCIO;PSDB / ALAGOA GRANDE UNIDA II;960;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;22123;RONALDO MARQUES LINS;RONALDO;PR / ALAGOA GRANDE UNIDA II;952;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;36666;MARCELO DOS SANTOS;MARCELO DE;PTC / ALAGOA GRANDE UNIDA II;887;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;40000;LUIS LUCINDO DA SILVA;LUIS LUCINDO;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;860;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;77777;JOSE FABIANO NASCIMENTO DA;FABIANO LUZ;SD / PSB/PSL/PPS/PP/PEN/PMB/SD;823;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;17555;JAILTON PEDRO DA SILVA;JAILTON DE ZUMBI;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;813;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;22333;JOSÉ RIBEIRO AGRA FILHO;DEDA RIBEIRO;PR / ALAGOA GRANDE UNIDA II;755;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;51111;ERNANI CAVALCANTE CHAVES;DUCA CHAVES;PEN / PSB/PSL/PPS/PP/PEN/PMB/SD;725;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;17111;ADAUTO JOSE SILVA COUTINHO;ADAUTO DE MARISA;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;715;Eleito por 
;2016;1º Turno;ALAGOA GRANDE;Vereador;17333;MANUEL CARLOS DA SILVA;MANUELZINHO;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;623;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14000;CLÁUDIO LÚCIO BARBOSA;CLÁUDIO;PTB / MUDANÇA E TRABALHO;610;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;11111;ANTONIO SALUSTIANO DE;BAMBÃO;PP / PSB/PSL/PPS/PP/PEN/PMB/SD;601;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22222;GILBERTO MARQUES DA SILVA;GILBERTO MARQUES;PR / ALAGOA GRANDE UNIDA II;572;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22345;GENILDO MARQUES DA SILVA;GENILDO;PR / ALAGOA GRANDE UNIDA II;461;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;70000;EDVALDO DE VASCONCELOS;EDVALDO VIEIRA;PT do B / MUDANÇA E TRABALHO;346;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;17777;EUGENIO ALVES DE ANDRADE;EUGENIO;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;323;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14444;ANTONIO CALIXTO DA SILVA;NEM CALIXTO;PTB / MUDANÇA E TRABALHO;313;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;13111;ANTONIO RENATO FERNANDES;TOINHO DO;PT / ALAGOA GRANDE UNIDA II;269;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55123;MARCELO FÉLIX LOPES;MARCELO FELIX;PSD / MUDANÇA E TRABALHO;261;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22223;MARIA ALVES CAVALCANTE;NENZINHA;PR / ALAGOA GRANDE UNIDA II;249;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55666;ANTONIO COELHO AYRES;TOINHO AYRES;PSD / MUDANÇA E TRABALHO;244;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;35555;ROZIANA MARIANO DE ARAUJO;ROZI DE BADELO;PMB / PSB/PSL/PPS/PP/PEN/PMB/SD;238;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55888;MOISÉS DOS SANTOS BARBOSA;MOISÉS;PSD / MUDANÇA E TRABALHO;213;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55456;MARIA DA SILVA PEREIRA;LIVRAMENTO;PSD / MUDANÇA E TRABALHO;202;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;40555;VALDENILSON LAURENTINO;DIDA;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;179;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22331;GEOVANNI VITORINO DA SILVA;GEOVANNI DA;PR / ALAGOA GRANDE UNIDA II;150;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;40111;JOÃO JOAQUIM DA SILVA NETO;CUAN;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;147;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14123;HELENILSON CARDOSO PEREIRA;FILHÃO;PTB / MUDANÇA E TRABALHO;144;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22666;EMANUEL MESSIAS FERNANDES;EMANUEL DE;PR / ALAGOA GRANDE UNIDA II;142;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14666;GILDENILSON CABRAL DA;DENILSON;PTB / MUDANÇA E TRABALHO;138;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;17890;JOEDSON DA SILVA COUTINHO;ZÉ DO POVO;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;129;Suplente
