COD_MUNICIPIO_TSE;UF;MUNICIPIO;ELEITORADO APTO;FEMININO;MASCULINO;NÃO INFORMADO;16 ANOS;17 ANOS;18 A 20 ANOS;21 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 A 69 ANOS;70 A 79 ANOS;SUPERIOR A 79 ANOS;INVÁLIDA
81698;SC;JABORÁ;3815;1906;1909;0;37;60;212;303;743;589;1039;452;286;93;1
81710;SC;JACINTO MACHADO;9150;4546;4604;0;110;131;483;739;1846;1598;2316;1026;589;312;0
81736;SC;JAGUARUNA;14360;7324;7036;0;93;142;747;1089;2966;2544;3590;1864;823;502;0
81752;SC;JARAGUÁ DO SUL;114349;58388;55961;0;203;627;6010;9631;27212;25526;28810;9876;4234;2219;1
81140;SC;JARDINÓPOLIS;1580;781;799;0;24;39;97;135;314;234;449;151;95;42;0
81779;SC;JOAÇABA;21841;11477;10364;0;71;144;1071;1680;4481;4121;5770;2434;1321;748;0
81795;SC;JOINVILLE;372551;194427;178124;0;608;2679;23196;32864;86121;79262;99402;38013;9025;1380;1
80101;SC;JOSÉ BOITEUX;4164;2015;2149;0;61;64;285;401;930;712;947;394;247;122;1
81540;SC;JUPIÁ;2050;1004;1046;0;30;34;127;166;415;355;504;239;119;61;0
81817;SC;LACERDÓPOLIS;2088;1056;1032;0;19;20;113;137;394;357;521;275;173;79;0
81833;SC;LAGES;122076;64365;57711;0;321;883;7021;10508;26110;23323;30238;12773;6716;4183;0
81850;SC;LAGUNA;34257;17927;16330;0;132;276;1663;2624;6677;6260;8759;4452;2385;1029;0
80586;SC;LAJEADO GRANDE;1760;863;897;0;21;33;79;162;419;262;452;194;87;51;0
81876;SC;LAURENTINO;5562;2826;2736;0;67;71;285;459;1201;1027;1471;595;267;119;0
81892;SC;LAURO MÜLLER;12413;6207;6206;0;72;144;640;990;2755;2225;3247;1264;705;371;0
81914;SC;LEBON RÉGIS;9166;4499;4667;0;106;168;566;875;1910;1794;2103;838;471;335;0
81930;SC;LEOBERTO LEAL;3084;1445;1639;0;32;55;171;240;654;558;799;312;195;68;0
80047;SC;LINDÓIA DO SUL;3732;1839;1893;0;19;46;186;274;655;629;1051;508;235;129;0
81957;SC;LONTRAS;8294;4244;4050;0;51;79;504;695;1795;1608;1959;879;436;288;0
81973;SC;LUIZ ALVES;8824;4296;4528;0;46;103;548;818;2076;1676;2146;780;365;266;0
81809;SC;LUZERNA;4902;2519;2383;0;24;34;269;371;927;837;1301;626;346;167;0
80900;SC;MACIEIRA;1958;916;1042;0;22;24;105;158;441;377;486;216;90;39;0
81990;SC;MAFRA;42678;21779;20899;0;88;259;2439;3508;8924;8748;10707;4414;2221;1370;0
82015;SC;MAJOR GERCINO;3060;1458;1602;0;27;42;184;264;581;576;819;354;146;67;0
82031;SC;MAJOR VIEIRA;5897;2873;3024;0;52;94;376;520;1220;1134;1452;618;281;150;0
83917;SC;MARACAJÁ;6156;3093;3063;0;72;100;378;530;1493;1163;1468;625;231;96;0
82058;SC;MARAVILHA;18242;9468;8774;0;103;218;1037;1557;3843;3454;4605;1885;1068;472;0
82066;SC;MAREMA;2202;1079;1123;0;35;32;144;178;393;331;607;257;153;72;0
82074;SC;MASSARANDUBA;12589;6298;6291;0;40;85;621;1038;2583;2480;3198;1305;747;492;0
82090;SC;MATOS COSTA;2603;1260;1343;0;30;57;148;213;522;513;616;262;147;95;0
82112;SC;MELEIRO;5936;2992;2944;0;49;70;305;490;1254;1014;1564;623;373;194;0
80365;SC;MIRIM DOCE;2410;1174;1236;0;39;48;137;203;489;426;578;271;154;65;0
82139;SC;MODELO;3387;1670;1716;1;60;62;170;307;663;568;888;352;223;94;0
82155;SC;MONDAÍ;7587;3799;3788;0;62;80;430;656;1616;1292;1926;873;498;154;0
80004;SC;MONTE CARLO;7371;3633;3738;0;67;132;538;743;1532;1494;1745;610;323;186;1
82171;SC;MONTE CASTELO;7052;3449;3603;0;64;117;461;630;1485;1407;1675;618;362;233;0
82198;SC;MORRO DA FUMAÇA;12993;6609;6384;0;68;122;770;1126;3072;2523;3380;1208;504;219;1
81086;SC;MORRO GRANDE;3077;1465;1612;0;42;49;155;269;717;567;762;311;131;72;2
82210;SC;NAVEGANTES;46320;24123;22197;0;126;312;2941;4499;10687;9233;11117;4295;1962;1147;1
82236;SC;NOVA ERECHIM;3827;1889;1938;0;43;44;230;369;810;718;920;404;190;99;0
80322;SC;NOVA ITABERABA;4024;1871;2153;0;45;70;251;349;802;687;1107;431;202;80;0
82252;SC;NOVA TRENTO;9932;5000;4932;0;45;67;504;796;2127;1854;2695;1037;512;294;1
82279;SC;NOVA VENEZA;11878;5936;5942;0;59;105;616;1040;2632;2214;3149;1174;582;306;1
80764;SC;NOVO HORIZONTE;2555;1199;1356;0;35;37;151;209;483;375;733;310;167;55;0
82295;SC;ORLEANS;18519;9414;9105;0;123;223;983;1644;4004;3556;4710;1835;911;530;0
83976;SC;OTACÍLIO COSTA;13335;6721;6614;0;188;227;825;1236;2708;2675;3178;1313;620;365;0
82317;SC;OURO;6001;3015;2986;0;41;66;290;455;1160;1031;1592;734;394;238;0
80845;SC;OURO VERDE;2178;1049;1129;0;23;42;132;199;442;395;571;205;101;68;0
81442;SC;PAIAL;1935;905;1030;0;25;32;94;153;462;323;460;230;99;56;1
81264;SC;PAINEL;2563;1162;1401;0;20;29;126;195;474;463;692;310;168;86;0
82333;SC;PALHOÇA;114060;59237;54823;0;217;855;7357;10764;28204;25149;28325;10186;2601;402;0
82350;SC;PALMA SOLA;6056;2977;3079;0;55;104;404;538;1294;1037;1452;627;346;199;0
81566;SC;PALMEIRA;2898;1367;1531;0;44;46;164;256;545;557;673;346;187;80;0
82376;SC;PALMITOS;12796;6503;6293;0;64;142;602;1025;2354;2197;3329;1724;915;444;0
82392;SC;PAPANDUVA;14905;7270;7635;0;105;175;944;1407;3341;2837;3592;1373;701;430;0
80705;SC;PARAÍSO;3774;1819;1955;0;36;60;222;321;760;592;960;478;249;96;0
80403;SC;PASSO DE TORRES;5881;2952;2928;1;59;80;284;454;1178;1061;1568;709;340;148;0
80624;SC;PASSOS MAIA;3561;1721;1840;0;44;76;244;316;791;631;845;383;153;78;0
82414;SC;PAULO LOPES;5805;2885;2920;0;44;56;373;527;1227;1125;1449;683;266;55;0
82430;SC;PEDRAS GRANDES;4052;2015;2037;0;33;34;174;280;887;658;1124;462;247;153;0
82457;SC;PENHA;20972;10995;9977;0;101;209;1204;1767;4295;4088;5170;2375;1088;675;0
82473;SC;PERITIBA;2912;1451;1461;0;36;31;138;225;570;425;811;368;193;115;0
83925;SC;PESCARIA BRAVA;7655;3845;3810;0;79;98;408;609;1550;1364;2019;872;460;196;0
82490;SC;PETROLÂNDIA;5190;2522;2668;0;48;71;295;443;1031;834;1387;597;341;143;0
82538;SC;PINHALZINHO;13911;7057;6854;0;94;159;849;1289;3213;2578;3463;1232;693;341;0
82554;SC;PINHEIRO PRETO;2776;1363;1413;0;17;43;139;264;606;470;727;266;162;82;0
82570;SC;PIRATUBA;4773;2380;2393;0;65;94;245;355;1024;809;1156;580;329;115;1
80543;SC;PLANALTO ALEGRE;2904;1404;1500;0;39;40;168;291;658;461;714;323;154;56;0
82597;SC;POMERODE;23398;11828;11570;0;61;119;1144;1722;5102;4968;6017;2367;1278;620;0
82619;SC;PONTE ALTA;4212;2104;2108;0;53;83;273;363;868;812;902;463;255;140;0
80926;SC;PONTE ALTA DO NORTE;2865;1420;1445;0;46;54;194;272;657;562;634;219;121;106;0
82635;SC;PONTE SERRADA;8755;4466;4289;0;70;123;595;835;1819;1616;2073;915;461;248;0
82651;SC;PORTO BELO;12870;6669;6201;0;57;106;706;1071;2632;2644;3274;1410;616;354;0
82678;SC;PORTO UNIÃO;25464;13192;12272;0;93;233;1361;2117;5091;4919;6430;2706;1512;1002;0
82694;SC;POUSO REDONDO;11218;5645;5573;0;64;119;608;919;2474;2149;2687;1150;662;386;0
82716;SC;PRAIA GRANDE;6142;3052;3090;0;45;85;332;514;1283;1117;1499;743;396;128;0
82732;SC;PRESIDENTE CASTELLO BRANCO;1611;783;828;0;29;28;90;140;274;254;431;219;117;29;0
82759;SC;PRESIDENTE GETÚLIO;12509;6363;6146;0;45;118;660;1093;2715;2295;3107;1293;741;442;0
82775;SC;PRESIDENTE NEREU;2291;1103;1188;0;15;36;115;202;509;385;577;258;133;61;0
81647;SC;PRINCESA;2570;1244;1326;0;38;44;144;245;570;433;630;261;150;55;0
82791;SC;QUILOMBO;8549;4253;4296;0;86;126;490;789;1778;1365;2175;976;539;224;1
82813;SC;RANCHO QUEIMADO;2782;1369;1413;0;30;42;131;198;507;542;734;372;183;43;0
82830;SC;RIO DAS ANTAS;5805;2785;3020;0;60;64;275;470;1243;1116;1424;615;345;193;0
82856;SC;RIO DO CAMPO;5154;2502;2652;0;48;75;286;423;1090;930;1310;575;320;97;0
82872;SC;RIO DO OESTE;5853;2863;2990;0;53;86;311;471;1150;1040;1515;675;377;175;0
82910;SC;RIO DO SUL;48381;25459;22922;0;144;312;2407;3793;10719;9669;12144;5069;2592;1531;1
82899;SC;RIO DOS CEDROS;8348;4110;4238;0;37;67;387;617;1641;1605;2077;1070;587;260;0
82937;SC;RIO FORTUNA;4413;2122;2291;0;56;59;220;372;987;710;1170;474;267;97;1
82953;SC;RIO NEGRINHO;31838;16089;15749;0;143;355;1934;2734;7084;6680;8011;2816;1374;706;1
80608;SC;RIO RUFINO;2381;1139;1242;0;38;40;154;208;477;438;585;253;122;66;0
80560;SC;RIQUEZA;4041;1971;2070;0;47;60;232;364;732;685;1026;512;295;88;0
82970;SC;RODEIO;9171;4671;4500;0;34;72;373;601;1746;1684;2428;1155;635;443;0
82996;SC;ROMELÂNDIA;4370;2170;2200;0;57;83;219;309;758;654;1211;637;345;97;0
83011;SC;SALETE;6124;2988;3136;0;60;81;344;511;1329;1142;1481;678;358;140;0
81523;SC;SALTINHO;3344;1604;1740;0;53;87;219;311;679;561;769;379;220;66;0
83038;SC;SALTO VELOSO;3692;1829;1863;0;25;40;226;331;823;653;932;354;222;86;0
81000;SC;SANGÃO;8435;4248;4187;0;100;135;505;829;2077;1659;2015;672;261;182;0
83054;SC;SANTA CECÍLIA;12817;6460;6357;0;90;209;957;1222;2818;2615;2977;1006;587;336;0
80721;SC;SANTA HELENA;2340;1160;1180;0;33;24;129;198;477;363;635;292;125;64;0
83070;SC;SANTA ROSA DE LIMA;2002;941;1061;0;24;39;89;181;413;324;546;215;121;50;0
80241;SC;SANTA ROSA DO SUL;7006;3477;3529;0;57;86;397;591;1399;1223;1817;795;396;244;1
80349;SC;SANTA TEREZINHA;6864;3176;3688;0;62;106;417;678;1465;1286;1696;627;346;181;0
81507;SC;SANTA TEREZINHA DO PROGRESSO;2555;1189;1366;0;44;49;171;219;503;404;619;320;174;51;1
81205;SC;SANTIAGO DO SUL;1520;728;792;0;24;24;103;148;295;252;372;175;96;31;0
83097;SC;SANTO AMARO DA IMPERATRIZ;16564;8415;8149;0;46;153;1003;1433;3611;3322;4573;1681;607;135;0
83119;SC;SÃO BENTO DO SUL;60414;30920;29494;0;129;389;3557;5024;13763;13495;15111;5418;2403;1122;3
81485;SC;SÃO BERNARDINO;2439;1148;1291;0;30;56;185;245;501;404;565;295;129;29;0
83135;SC;SÃO BONIFÁCIO;2641;1252;1389;0;21;34;122;157;477;462;725;376;202;65;0
83151;SC;SÃO CARLOS;8028;4027;4001;0;51;75;411;590;1675;1350;2160;1027;526;163;0
80942;SC;SÃO CRISTÓVÃO DO SUL;3623;1853;1770;0;36;65;257;331;779;706;828;338;173;110;0
