;Eleição;Localidade;Cargo;Eleitorado;Comparecimento;Abstenção;Abst. Percentual
;2016 - 1º Turno;SÃO JOSÉ DE ESPINHARAS;Prefeito;3811;3643;168;4,41
;2016 - 1º Turno;SÃO JOSÉ DE ESPINHARAS;Vereador;3811;3643;168;4,41
;2016 - 1º Turno;SÃO JOSÉ DE PIRANHAS;Prefeito;15486;12711;2775;17,92
;2016 - 1º Turno;SÃO JOSÉ DE PIRANHAS;Vereador;15486;12711;2775;17,92
;2016 - 1º Turno;SÃO JOSÉ DE PRINCESA;Prefeito;3596;2895;701;19,49
;2016 - 1º Turno;SÃO JOSÉ DE PRINCESA;Vereador;3596;2895;701;19,49
;2016 - 1º Turno;SÃO JOSÉ DO BONFIM;Prefeito;3320;3123;197;5,93
;2016 - 1º Turno;SÃO JOSÉ DO BONFIM;Vereador;3320;3123;197;5,93
;2016 - 1º Turno;SÃO JOSÉ DO BREJO DO CRUZ;Prefeito;1953;1828;125;6,40
;2016 - 1º Turno;SÃO JOSÉ DO BREJO DO CRUZ;Vereador;1953;1828;125;6,40
;2016 - 1º Turno;SÃO JOSÉ DO SABUGI;Prefeito;3622;3469;153;4,22
;2016 - 1º Turno;SÃO JOSÉ DO SABUGI;Vereador;3622;3469;153;4,22
;2016 - 1º Turno;SÃO JOSÉ DOS CORDEIROS;Prefeito;2983;2736;247;8,28
;2016 - 1º Turno;SÃO JOSÉ DOS CORDEIROS;Vereador;2983;2736;247;8,28
;2016 - 1º Turno;SÃO JOSÉ DOS RAMOS;Prefeito;5182;4450;732;14,13
;2016 - 1º Turno;SÃO JOSÉ DOS RAMOS;Vereador;5182;4450;732;14,13
;2016 - 1º Turno;SÃO MAMEDE;Prefeito;6258;5741;517;8,26
;2016 - 1º Turno;SÃO MAMEDE;Vereador;6258;5741;517;8,26
;2016 - 1º Turno;SÃO MIGUEL DE TAIPU;Prefeito;5920;5207;713;12,04
;2016 - 1º Turno;SÃO MIGUEL DE TAIPU;Vereador;5920;5207;713;12,04
;2016 - 1º Turno;SÃO SEBASTIÃO DE LAGOA DE ROÇA;Prefeito;8256;7599;657;7,96
;2016 - 1º Turno;SÃO SEBASTIÃO DE LAGOA DE ROÇA;Vereador;8256;7599;657;7,96
