cd_Ugestora,dt_Ano,de_Ugestora,Eleito,classe,Candidato2016,DistanciaParaCapital,Media_Eleitores,nu_Contratos,nu_Dispensas,nu_Aditivo_Prazo,nu_Aditivo_Devolucao,nu_Aditivo_Valor,nu_Aditivos_Totais,nu_Convites,nu_Dispensas_Prop_Contratos,nu_Aditivo_Prazo_Prop_Contratos,nu_Aditivo_Devolucao_Prop_Contratos,nu_Aditivo_Valor_Prop_Contratos,nu_Aditivos_Totais_Prop_Contratos,nu_Convites_Prop_Contratos,nu_Contratos_Prop_Eleitores,nu_Dispensas_Prop_Eleitores,nu_Aditivo_Prazo_Prop_Eleitores,nu_Aditivo_Devolucao_Prop_Eleitores,nu_Aditivo_Valor_Prop_Eleitores,nu_Aditivos_Totais_Prop_Eleitores,nu_Convites_Prop_Eleitores
201204,2013,SERRA REDONDA,MANOEL MARCELO DE ANDRADE,NAO IRREGULAR,FALSE,111,6059,237,27,6,0,7,13,29,0.113924050632911,0.0253164556962025,0,0.029535864978903,0.0548523206751055,0.122362869198312,0.0391153655718765,0.0044561808879353,0.000990262419541178,0,0.00115530615613137,0.00214556857567255,0.0047862683611157
201205,2009,SERRARIA,SEVERINO FERREIRA DA SILVA,NAO IRREGULAR,FALSE,136,4192,192,0,9,0,12,21,87,0,0.046875,0,0.0625,0.109375,0.453125,0.0458015267175573,0,0.0021469465648855,0,0.00286259541984733,0.00500954198473282,0.0207538167938931
201205,2013,SERRARIA,SEVERINO FERREIRA DA SILVA,NAO IRREGULAR,FALSE,136,4192,159,0,9,0,12,21,13,0,0.0566037735849057,0,0.0754716981132075,0.132075471698113,0.0817610062893082,0.0379293893129771,0,0.0021469465648855,0,0.00286259541984733,0.00500954198473282,0.00310114503816794
201206,2009,SERTAOZINHO,ANTONIO RIBEIRO FILHO,NAO IRREGULAR,FALSE,122,3296,384,5,6,0,7,13,202,0.0130208333333333,0.015625,0,0.0182291666666667,0.0338541666666667,0.526041666666667,0.116504854368932,0.00151699029126214,0.00182038834951456,0,0.00212378640776699,0.00394417475728155,0.0612864077669903
201206,2013,SERTAOZINHO,MARCIA MOUSINHO ARAUJO,NAO IRREGULAR,FALSE,122,3296,235,11,7,0,13,20,23,0.0468085106382979,0.0297872340425532,0,0.0553191489361702,0.0851063829787234,0.0978723404255319,0.0712985436893204,0.0033373786407767,0.00212378640776699,0,0.00394417475728155,0.00606796116504854,0.00697815533980583
201207,2009,SOBRADO,CELIA MARIA DE OLIVEIRA MELO,NAO IRREGULAR,FALSE,58.9,6229,35,0,0,0,0,0,28,0,0,0,0,0,0.8,0.00561887943490127,0,0,0,0,0,0.00449510354792101
201207,2013,SOBRADO,GEORGE JOSE PORCIUNCULA PEREIRA COELHO,NAO IRREGULAR,FALSE,58.9,6229,151,10,11,0,46,57,48,0.0662251655629139,0.0728476821192053,0,0.304635761589404,0.377483443708609,0.317880794701987,0.0242414512762883,0.00160539412425751,0.00176593353668326,0,0.00738481297158452,0.00915074650826778,0.00770589179643603
201208,2009,SOLANEA,FRANCISCO DE ASSIS DE MELO,NAO IRREGULAR,FALSE,145,21732,667,14,6,0,66,72,395,0.0209895052473763,0.00899550224887556,0,0.0989505247376312,0.107946026986507,0.592203898050975,0.0306920669979753,0.000644211301306829,0.000276090557702927,0,0.00303699613473219,0.00331308669243512,0.0181759617154427
201208,2013,SOLANEA,SEBASTIAO ALBERTO CANDIDO DA CRUZ,NAO IRREGULAR,FALSE,145,21732,524,23,28,0,43,71,36,0.0438931297709924,0.0534351145038168,0,0.0820610687022901,0.135496183206107,0.0687022900763359,0.0241119087060556,0.00105834713786122,0.00128842260261366,0,0.00197864899687097,0.00326707159948463,0.00165654334621756
201209,2009,SOLEDADE,JOSE IVANILDO BARROS GOUVEIA,NAO IRREGULAR,FALSE,198,9914,411,1,2,0,3,5,158,0.0024330900243309,0.0048661800486618,0,0.0072992700729927,0.0121654501216545,0.384428223844282,0.0414565261246722,0.000100867460157353,0.000201734920314706,0,0.00030260238047206,0.000504337300786766,0.0159370587048618
