UF;Município;Limite de Gasto Prefeito 1º Turno;Limite de Gasto Prefeito 2º Turno;Limite de Gasto Vereador;Limite Contratação Prefeito;Limite Contratação Vereador;Eleitorado Apto 
PB;CACIMBA DE DENTRO;108039,06;-;10803,91;142;71;14228 
PB;CACIMBAS;108039,06;-;10803,91;52;26;5168 
PB;CAIÇARA;108039,06;-;10803,91;60;30;6009 
PB;CAJAZEIRAS;424978,87;-;17735,47;315;158;45416 
PB;CAJAZEIRINHAS;108039,06;-;10803,91;33;17;3321 
PB;CALDAS BRANDÃO;108039,06;-;10803,91;54;27;5361 
PB;CAMALAÚ;108039,06;-;10803,91;50;25;5042 
PB;CAMPINA GRANDE;3495432,44;1048629,73;144260,40;544;213;274006 
PB;CAPIM;108039,06;-;10803,91;55;28;5529 
PB;CARAÚBAS;108039,06;-;10803,91;37;19;3737 
PB;CARRAPATEIRA;108039,06;-;10803,91;24;12;2371 
PB;CASSERENGUE;108039,06;-;10803,91;62;31;6215 
PB;CATINGUEIRA;108039,06;-;10803,91;44;22;4360 
PB;CATOLÉ DO ROCHA;108039,06;-;10803,91;218;109;21818 
PB;CATURITÉ;108039,06;-;10803,91;42;21;4240 
PB;CONCEIÇÃO;108039,06;-;10803,91;146;73;14616 
PB;CONDADO;108039,06;-;10803,91;58;29;5780 
PB;CONDE;209429,38;-;10803,91;199;100;19922 
PB;CONGO;108039,06;-;10803,91;44;22;4441 
PB;COREMAS;108039,06;-;10803,91;125;63;12462 
PB;COXIXOLA;108039,06;-;10803,91;17;9;1742 
PB;CRUZ DO ESPÍRITO SANTO;108039,06;-;14002,53;155;78;15518 
PB;CUBATI;108039,06;-;10803,91;60;30;5977 
PB;CUITÉ;178293,92;-;17492,69;170;85;17013 
PB;CUITÉ DE MAMANGUAPE;108039,06;-;10803,91;66;33;6582 
PB;CUITEGI;108039,06;-;10803,91;54;27;5380 
PB;CURRAL DE CIMA;108039,06;-;10803,91;46;23;4592 
PB;CURRAL VELHO;108039,06;-;10803,91;20;10;2022 
PB;DAMIÃO;108039,06;-;10803,91;47;24;4688 
PB;DESTERRO;108039,06;-;10803,91;61;31;6125 
PB;DIAMANTE;108039,06;-;10803,91;52;26;5218 
PB;DONA INÊS;108039,06;-;10803,91;79;40;7933 
PB;DUAS ESTRADAS;108039,06;-;10803,91;37;19;3696 
PB;EMAS;108039,06;-;10803,91;30;15;3001 
PB;ESPERANÇA;265040,71;-;10803,91;229;115;22885 
PB;FAGUNDES;108039,06;-;18065,63;102;51;10204 
PB;FREI MARTINHO;108039,06;-;10803,91;29;15;2907 
PB;GADO BRAVO;108039,06;-;10803,91;74;37;7407 
PB;GUARABIRA;327145,06;-;31038,72;308;154;38459 
PB;GURINHÉM;108039,06;-;10803,91;119;60;11884 
PB;GURJÃO;108039,06;-;10803,91;29;15;2912 
PB;IBIARA;108039,06;-;10803,91;56;28;5587 
PB;IGARACY;108039,06;-;10803,91;52;26;5243 
PB;IMACULADA;108039,06;-;10803,91;80;40;7958 
PB;INGÁ;108039,06;-;10803,91;146;73;14554 
PB;ITABAIANA;108039,06;-;16609,53;200;100;20042 
PB;ITAPORANGA;108039,06;-;10803,91;158;79;15849 
PB;ITAPOROROCA;108039,06;-;20771,03;117;59;11720 
PB;ITATUBA;108039,06;-;10803,91;86;43;8554 
PB;JACARAÚ;108039,06;-;10803,91;121;61;12109 
PB;JERICÓ;108039,06;-;10803,91;66;33;6641 
PB;JOÃO PESSOA;2465246,00;739573,80;273874,03;759;213;489028 
PB;JOCA CLAUDINO;108039,06;-;10803,91;28;14;2825 
PB;JUAREZ TÁVORA;108039,06;-;10803,91;72;36;7207 
PB;JUAZEIRINHO;108039,06;-;10803,91;121;61;12098 
PB;JUNCO DO SERIDÓ;108039,06;-;10803,91;49;25;4920 
PB;JURIPIRANGA;108039,06;-;10803,91;100;50;10026 
PB;JURU;108039,06;-;10803,91;79;40;7948 
PB;LAGOA;108039,06;-;10803,91;43;22;4258 
PB;LAGOA DE DENTRO;108039,06;-;10803,91;60;30;6012 
PB;LAGOA SECA;108039,06;-;14366,36;189;95;18878 
PB;LASTRO;108039,06;-;10803,91;35;18;3529 
PB;LIVRAMENTO;108039,06;-;10803,91;54;27;5406 
PB;LOGRADOURO;108039,06;-;10803,91;32;16;3228 
PB;LUCENA;108039,06;-;10803,91;109;55;10939 
PB;MÃE D'ÁGUA;108039,06;-;10803,91;39;20;3884 
PB;MALTA;108039,06;-;10803,91;51;26;5144 
PB;MAMANGUAPE;144759,66;-;17223,89;300;150;29999 
PB;MANAÍRA;108039,06;-;10803,91;89;45;8931 
PB;MARCAÇÃO;108039,06;-;10803,91;65;33;6549 
PB;MARI;108039,06;-;10803,91;173;87;17261 
PB;MARIZÓPOLIS;108039,06;-;10803,91;51;26;5123 
PB;MASSARANDUBA;149114,41;-;10803,91;105;53;10527 
PB;MATARACA;108039,06;-;10803,91;74;37;7383 
PB;MATINHAS;108039,06;-;10803,91;40;20;3980 
PB;MATO GROSSO;108039,06;-;10803,91;30;15;2977 
PB;MATURÉIA;108039,06;-;10803,91;50;25;4950 
PB;MOGEIRO;108039,06;-;10803,91;119;60;11886 
PB;MONTADAS;108039,06;-;10803,91;41;21;4082 
PB;MONTE HOREBE;108039,06;-;10803,91;40;20;4043 
PB;MONTEIRO;169865,39;-;10803,91;228;114;22844 
PB;MULUNGU;108039,06;-;10803,91;94;47;9396 
PB;NATUBA;108039,06;-;10803,91;70;35;7042 
PB;NAZAREZINHO;108039,06;-;10803,91;58;29;5782 
PB;NOVA FLORESTA;108039,06;-;10803,91;81;41;8108 
PB;NOVA OLINDA;108039,06;-;10803,91;48;24;4811 
PB;NOVA PALMEIRA;108039,06;-;10803,91;35;18;3468 
PB;OLHO D'ÁGUA;108039,06;-;10803,91;64;32;6385 
PB;OLIVEDOS;108039,06;-;10803,91;34;17;3428 
PB;OURO VELHO;108039,06;-;10803,91;29;15;2929 
PB;PARARI;108039,06;-;10803,91;20;10;2048 
PB;PASSAGEM;108039,06;-;10803,91;22;11;2220 
PB;PATOS;573539,75;-;71500,41;331;166;61044 
PB;PAULISTA;108039,06;-;10803,91;93;47;9299 
PB;PEDRA BRANCA;108039,06;-;10803,91;36;18;3577 
PB;PEDRA LAVRADA;108039,06;-;10803,91;60;30;6022 
PB;PEDRAS DE FOGO;280958,52;-;10803,91;213;107;21269 
PB;PEDRO RÉGIS;108039,06;-;10803,91;45;23;4513 
PB;PIANCÓ;108039,06;-;10803,91;121;61;12085 
PB;PICUÍ;108039,06;-;13824,33;148;74;14832 
PB;PILAR;419478,18;-;14392,31;97;49;9702 
PB;PILÕES;108039,06;-;10803,91;63;32;6321 
PB;PILÕEZINHOS;108039,06;-;10803,91;48;24;4761 
PB;PIRPIRITUBA;108039,06;-;10803,91;80;40;8049 
PB;PITIMBU;108039,06;-;10803,91;116;58;11642 
PB;POCINHOS;108039,06;-;10803,91;137;69;13720 
PB;POÇO DANTAS;108039,06;-;10803,91;38;19;3782 
PB;POÇO DE JOSÉ DE MOURA;108039,06;-;10803,91;41;21;4074 
PB;POMBAL;138529,82;-;10803,91;237;119;23705 
PB;PRATA;108039,06;-;10803,91;38;19;3760 
PB;PRINCESA ISABEL;108039,06;-;10803,91;158;79;15827 
PB;PUXINANÃ;108039,06;-;22662,28;113;57;11278 
PB;QUEIMADAS;200816,43;-;10803,91;305;153;34603 
PB;QUIXABA;108039,06;-;10803,91;19;10;1879 
PB;REMÍGIO;165881,35;-;13434,60;127;64;12692 
PB;RIACHÃO;108039,06;-;10803,91;34;17;3371 
PB;RIACHÃO DO BACAMARTE;108039,06;-;10803,91;46;23;4615 
PB;RIACHÃO DO POÇO;108039,06;-;10803,91;44;22;4381 
PB;RIACHO DE SANTO ANTÔNIO;108039,06;-;10803,91;21;11;2073 
PB;RIACHO DOS CAVALOS;548761,96;-;10803,91;75;38;7508 
PB;RIO TINTO;108039,06;-;10803,91;191;96;19061 
PB;SALGADINHO;108039,06;-;10803,91;28;14;2810 
PB;SALGADO DE SÃO FÉLIX;108039,06;-;10803,91;114;57;11385 
PB;SANTA CECÍLIA;108039,06;-;10803,91;66;33;6614 
PB;SANTA CRUZ;108039,06;-;10803,91;53;27;5302 
PB;SANTA HELENA;108039,06;-;10803,91;57;29;5663 
PB;SANTA INÊS;108039,06;-;10803,91;40;20;3951 
PB;SANTA LUZIA;108039,06;-;21757,55;109;55;10852 
PB;SANTA RITA;319830,14;-;21632,42;359;180;88677 
PB;SANTA TERESINHA;108039,06;-;10803,91;48;24;4764 
PB;SANTANA DE MANGUEIRA;108039,06;-;10803,91;48;24;4783 
PB;SANTANA DOS GARROTES;108039,06;-;10803,91;59;30;5943 
PB;SANTO ANDRÉ;108039,06;-;10803,91;26;13;2584 
PB;SÃO BENTINHO;108039,06;-;10803,91;33;17;3340 
PB;SÃO BENTO;227164,05;-;23077,12;262;131;26218 
PB;SÃO DOMINGOS DE POMBAL;108039,06;-;10803,91;28;14;2783 
PB;SÃO DOMINGOS DO CARIRI;108039,06;-;10803,91;27;14;2659 
PB;SÃO FRANCISCO;108039,06;-;10803,91;36;18;3633 
PB;SÃO JOÃO DO CARIRI;108039,06;-;10803,91;40;20;3967 
PB;SÃO JOÃO DO RIO DO PEIXE;108039,06;-;10803,91;147;74;14685 
PB;SÃO JOÃO DO TIGRE;170602,55;-;10803,91;35;18;3548 
PB;SÃO JOSÉ DA LAGOA TAPADA;108039,06;-;10803,91;61;31;6074 
PB;SÃO JOSÉ DE CAIANA;108039,06;-;10803,91;46;23;4587 
PB;SÃO JOSÉ DE ESPINHARAS;108039,06;-;10803,91;38;19;3811 
PB;SÃO JOSÉ DE PIRANHAS;108039,06;-;10803,91;155;78;15486 
PB;SÃO JOSÉ DE PRINCESA;108039,06;-;10803,91;36;18;3596 
PB;SÃO JOSÉ DO BONFIM;108039,06;-;10803,91;33;17;3320 
PB;SÃO JOSÉ DO BREJO DO CRUZ;108039,06;-;10803,91;20;10;1953 
PB;SÃO JOSÉ DO SABUGI;108039,06;-;10803,91;36;18;3622 
PB;SÃO JOSÉ DOS CORDEIROS;108039,06;-;10803,91;30;15;2983 
PB;SÃO JOSÉ DOS RAMOS;108039,06;-;10803,91;52;26;5182 
PB;SÃO MAMEDE;108039,06;-;10803,91;63;32;6258 
PB;SÃO MIGUEL DE TAIPU;108039,06;-;10803,91;59;30;5920 
PB;SÃO SEBASTIÃO DE LAGOA DE ROÇA;108039,06;-;10803,91;83;42;8256 
PB;SÃO SEBASTIÃO DO UMBUZEIRO;108039,06;-;10803,91;28;14;2834 
PB;SÃO VICENTE DO SERIDÓ;108039,06;-;10803,91;80;40;7964 
PB;SAPÉ;198340,40;-;13894,74;309;155;38960 
PB;SERRA BRANCA;108039,06;-;10803,91;96;48;9559 
PB;SERRA DA RAIZ;108039,06;-;10803,91;25;13;2537 
PB;SERRA GRANDE;108039,06;-;10803,91;32;16;3170 
PB;SERRA REDONDA;108039,06;-;10803,91;67;34;6653 
PB;SERRARIA;108039,06;-;10803,91;48;24;4786 
PB;SERTÃOZINHO;108039,06;-;10803,91;43;22;4279 
PB;SOBRADO;108039,06;-;10803,91;73;37;7287 
PB;SOLÂNEA;108039,06;-;10803,91;227;114;22747 
PB;SOLEDADE;108039,06;-;10803,91;103;52;10328 
PB;SOSSÊGO;108039,06;-;10803,91;31;16;3109 
PB;SOUSA;338606,69;-;53336,02;314;157;43564 
PB;SUMÉ;108039,06;-;65664,73;121;61;12143 
PB;TACIMA;108039,06;-;17284,63;78;39;7818 
PB;TAPEROÁ;108039,06;-;10803,91;102;51;10176 
PB;TAVARES;108039,06;-;10803,91;118;59;11773 
PB;TEIXEIRA;108039,06;-;10803,91;103;52;10262 
PB;TENÓRIO;108039,06;-;10803,91;25;13;2514 
PB;TRIUNFO;108039,06;-;10803,91;76;38;7598 
PB;UIRAÚNA;108039,06;-;10803,91;116;58;11600 
PB;UMBUZEIRO;108039,06;-;10803,91;68;34;6809 
PB;VÁRZEA;108039,06;-;10803,91;23;12;2336 
PB;VIEIRÓPOLIS;108039,06;-;10803,91;47;24;4747 
PB;VISTA SERRANA;108039,06;-;10803,91;31;16;3117 
PB;ZABELÊ;108039,06;-;10803,91;20;10;2002 
PE;ABREU E LIMA;220265,66;-;25046,79;350;175;79789 
PE;AFOGADOS DA INGAZEIRA;245570,92;-;16853,92;267;134;26726 
PE;AFRÂNIO;237166,63;-;14559,91;158;79;15776 
PE;AGRESTINA;140411,85;-;10803,91;205;103;20502 
PE;ÁGUA PRETA;233927,68;-;10803,91;233;117;23277 
PE;ÁGUAS BELAS;451873,23;-;42490,59;301;151;30896 
PE;ALAGOINHA;108039,06;-;10803,91;120;60;12006 
PE;ALIANÇA;138436,19;-;20599,23;265;133;26491 
PE;ALTINHO;162857,52;-;10803,91;156;78;15583 
PE;AMARAJI;135396,12;-;10803,91;155;78;15505 
PE;ANGELIM;108039,06;-;10803,91;87;44;8659 
PE;ARAÇOIABA;108039,06;-;10803,91;145;73;14546 
PE;ARARIPINA;235601,53;-;35393,22;323;162;53291 
PE;ARCOVERDE;154299,74;-;45880,10;314;157;44218 
PE;BARRA DE GUABIRABA;108039,06;-;10803,91;105;53;10540 
PE;BARREIROS;258480,96;-;10803,91;295;148;29528 
PE;BELÉM DE MARIA;108039,06;-;10803,91;93;47;9260 
PE;BELÉM DE SÃO FRANCISCO;163230,26;-;10803,91;154;77;15439 
PE;BELO JARDIM;240747,53;-;26521,13;330;165;60062 
PE;BETÂNIA;108039,06;-;10803,91;101;51;10122 
PE;BEZERROS;418679,36;-;18651,67;312;156;41946 
PE;BODOCÓ;108039,06;-;15347,82;266;133;26593 
PE;BOM CONSELHO;108039,06;-;22485,21;305;153;35457 
PE;BOM JARDIM;239981,03;-;35608,58;268;134;26752 
PE;BONITO;108039,06;-;24019,83;273;137;27285 
PE;BREJÃO;108039,06;-;10803,91;86;43;8592 
PE;BREJINHO;108039,06;-;10803,91;71;36;7087 
PE;BREJO DA MADRE DE DEUS;282702,97;-;29659,92;302;151;31576 
PE;BUENOS AIRES;163230,92;-;10803,91;114;57;11399 
PE;BUÍQUE;172003,57;-;14981,26;308;154;38492 
PE;CABO DE SANTO AGOSTINHO;689470,66;-;96474,36;432;216;162229 
PE;CABROBÓ;108039,06;-;17529,48;245;123;24451 
PE;CACHOEIRINHA;108039,06;-;10803,91;148;74;14826 
PE;CAETÉS;108039,06;-;23408,22;197;99;19715 
PE;CALÇADO;108039,06;-;10803,91;88;44;8808 
PE;CALUMBI;108039,06;-;10803,91;66;33;6602 
PE;CAMARAGIBE;449339,45;-;21221,89;392;196;121877 
PE;CAMOCIM DE SÃO FÉLIX;165121,56;-;24084,49;134;67;13419 
PE;CAMUTANGA;108039,06;-;10803,91;70;35;7038 
PE;CANHOTINHO;143258,28;-;10803,91;159;80;15900 
PE;CAPOEIRAS;108039,06;-;10803,91;161;81;16133 
PE;CARNAÍBA;108039,06;-;10803,91;142;71;14170 
PE;CARNAUBEIRA DA PENHA;108039,06;-;10803,91;110;55;11026 
PE;CARPINA;397934,36;-;43851,08;326;163;56290 
PE;CARUARU;2619231,31;785769,39;131125,02;480;240;209898 
PE;CASINHAS;167598,34;-;10803,91;129;65;12908 
PE;CATENDE;108039,06;-;21609,80;241;121;24085 
PE;CEDRO;108039,06;-;24362,80;97;49;9720 
PE;CHÃ DE ALEGRIA;108039,06;-;13681,25;110;55;10965 
PE;CHÃ GRANDE;188632,77;-;37453,15;179;90;17923 
PE;CONDADO;210107,72;-;15646,05;199;100;19912 
PE;CORRENTES;108039,06;-;10803,91;135;68;13499 
PE;CORTÊS;153557,90;-;10803,91;112;56;11211 
PE;CUMARU;190947,31;-;46624,95;152;76;15200 
PE;CUPIRA;108039,06;-;15777,14;185;93;18502 
PE;CUSTÓDIA;108039,06;-;10803,91;258;129;25770 
PE;DORMENTES;203108,57;-;16678,93;153;77;15287 
PE;ESCADA;196160,85;-;10803,91;314;157;44367 
PE;EXU;108039,06;-;10803,91;295;148;29526 
PE;FEIRA NOVA;137921,21;-;26404,47;175;88;17508 
PE;FERREIROS;214168,79;-;21927,55;90;45;9014 
PE;FLORES;108039,06;-;10803,91;169;85;16915 
PE;FLORESTA;108039,06;-;16235,43;231;116;23084 
PE;FREI MIGUELINHO;108039,06;-;10803,91;125;63;12546 
PE;GAMELEIRA;108039,06;-;10803,91;177;89;17717 
PE;GARANHUNS;261235,70;-;22711,20;356;178;85556 
PE;GLÓRIA DO GOITÁ;108039,06;-;10803,91;202;101;20174 
PE;GOIANA;365802,12;-;53461,54;326;163;56291 
PE;GRANITO;108039,06;-;10803,91;65;33;6477 
PE;GRAVATÁ;225039,48;-;118164,68;333;167;62804 
PE;IATI;156179,62;-;10803,91;157;79;15701 
PE;IBIMIRIM;108039,06;-;10803,91;199;100;19872 
PE;IBIRAJUBA;177815,39;-;10803,91;64;32;6433 
PE;IGARASSU;170839,72;-;34644,16;345;173;75073 
PE;IGUARACI;108039,06;-;10803,91;82;41;8234 
PE;ILHA DE ITAMARACÁ;108039,06;-;26067,79;166;83;16565 
PE;INAJÁ;286479,12;-;10803,91;130;65;13014 
PE;INGAZEIRA;108039,06;-;10803,91;37;19;3714 
PE;IPOJUCA;1796009,44;-;93576,69;336;168;66469 
PE;IPUBI;189870,34;-;23077,05;222;111;22177 
PE;ITACURUBA;108039,06;-;10803,91;45;23;4532 
PE;ITAÍBA;250932,01;-;10803,91;173;87;17267 
PE;ITAMBÉ;178712,72;-;16223,02;225;113;22490 
PE;ITAPETIM;108039,06;-;10803,91;119;60;11911 
PE;ITAPISSUMA;108039,06;-;17420,39;172;86;17184 
PE;ITAQUITINGA;108039,06;-;10803,91;138;69;13798 
PE;JABOATÃO DOS GUARARAPES;1114168,41;334250,52;121699,88;714;357;443854 
PE;JAQUEIRA;108039,06;-;10803,91;99;50;9908 
PE;JATAÚBA;108039,06;-;10803,91;140;70;13987 
PE;JATOBÁ;108039,06;-;10803,91;95;48;9503 
PE;JOÃO ALFREDO;108039,06;-;19765,90;239;120;23873 
PE;JOAQUIM NABUCO;135362,23;-;10803,91;131;66;13088 
PE;JUCATI;108039,06;-;10803,91;87;44;8670 
PE;JUPI;108039,06;-;10803,91;107;54;10748 
PE;JUREMA;108039,06;-;10803,91;112;56;11173 
PE;LAGOA DE ITAENGA;395130,69;-;10803,91;181;91;18129 
PE;LAGOA DO CARRO;159931,06;-;10803,91;140;70;14049 
PE;LAGOA DO OURO;108039,06;-;21317,26;108;54;10796 
PE;LAGOA DOS GATOS;108039,06;-;10803,91;124;62;12427 
PE;LAGOA GRANDE;108039,06;-;10803,91;186;93;18647 
PE;LAJEDO;108039,06;-;16722,83;251;126;25120 
PE;LIMOEIRO;408789,80;-;23936,47;311;156;40764 
PE;MACAPARANA;108039,06;-;10803,91;188;94;18834 
PE;MACHADOS;108039,06;-;10803,91;110;55;10998 
PE;MANARI;141325,70;-;15524,33;124;62;12448 
PE;MARAIAL;108039,06;-;10803,91;103;52;10347 
PE;MIRANDIBA;108039,06;-;10803,91;124;62;12436 
PE;MOREILÂNDIA;108039,06;-;10803,91;88;44;8753 
PE;MORENO;242302,06;-;24672,26;314;157;44105 
PE;NAZARÉ DA MATA;108039,06;-;27458,32;226;113;22649 
PE;OLINDA;1270350,41;381105,12;92509,27;529;265;259335 
PE;OROBÓ;227320,94;-;10803,91;205;103;20510 
PE;OROCÓ;108039,06;-;10803,91;121;61;12101 
PE;OURICURI;247135,59;-;22928,82;317;159;46911 
PE;PALMARES;370786,15;-;23408,22;309;155;38901 
PE;PALMEIRINA;108039,06;-;10803,91;70;35;7047 
PE;PANELAS;108039,06;-;10803,91;217;109;21742 
PE;PARANATAMA;108039,06;-;10803,91;90;45;9030 
PE;PARNAMIRIM;150105,50;-;10803,91;178;89;17760 
PE;PASSIRA;108039,06;-;10803,91;236;118;23593 
PE;PAUDALHO;170130,92;-;15664,78;311;156;40805 
PE;PAULISTA;1043246,02;-;49043,73;463;232;193271 
PE;PEDRA;108039,06;-;10803,91;186;93;18616 
PE;PESQUEIRA;163857,52;-;20258,14;319;160;49282 
PE;PETROLÂNDIA;108039,06;-;10803,91;231;116;23145 
PE;PETROLINA;2054481,63;-;115185,43;454;227;183819 
PE;POÇÃO;108039,06;-;10803,91;98;49;9817 
PE;POMBOS;108039,06;-;10803,91;195;98;19489 
PE;PRIMAVERA;108039,06;-;10803,91;110;55;11013 
PE;QUIPAPÁ;398793,13;-;45247,15;182;91;18214 
PE;QUIXABA;108039,06;-;10803,91;54;27;5442 
PE;RECIFE;6607443,14;1982232,94;887601,12;1389;389;1119271 
PE;RIACHO DAS ALMAS;203557,85;-;18101,11;188;94;18821 
PE;RIBEIRÃO;158057,68;-;10803,91;302;151;32336 
PE;RIO FORMOSO;108039,06;-;26181,89;163;82;16251 
PE;SAIRÉ;159783,88;-;18256,07;113;57;11334 
PE;SALGADINHO;108039,06;-;10803,91;67;34;6747 
PE;SALGUEIRO;249831,21;-;26385,74;308;154;37600 
PE;SALOÁ;108039,06;-;10803,91;135;68;13506 
PE;SANHARÓ;108039,06;-;10803,91;150;75;14971 
PE;SANTA CRUZ;108039,06;-;16670,70;110;55;10992 
PE;SANTA CRUZ DA BAIXA VERDE;108039,06;-;10803,91;99;50;9902 
PE;SANTA CRUZ DO CAPIBARIBE;499063,17;-;37914,76;322;161;52246 
PE;SANTA FILOMENA;108039,06;-;10803,91;112;56;11204 
PE;SANTA MARIA DA BOA VISTA;228923,01;-;28823,99;283;142;28304 
PE;SANTA MARIA DO CAMBUCÁ;108039,06;-;10803,91;101;51;10065 
PE;SANTA TEREZINHA;108039,06;-;10803,91;85;43;8451 
PE;SÃO BENEDITO DO SUL;108039,06;-;10803,91;88;44;8836 
PE;SÃO BENTO DO UNA;469202,02;-;15121,71;306;153;36098 
PE;SÃO CAITANO;264130,37;-;36401,85;284;142;28354 
PE;SÃO JOÃO;108039,06;-;10803,91;182;91;18151 
PE;SÃO JOAQUIM DO MONTE;153246,02;-;10803,91;160;80;15967 
PE;SÃO JOSÉ DA COROA GRANDE;140196,49;-;10803,91;139;70;13910 
PE;SÃO JOSÉ DO BELMONTE;189975,47;-;18913,84;281;141;28088 
PE;SÃO JOSÉ DO EGITO;155285,40;-;18268,48;249;125;24908 
PE;SÃO LOURENÇO DA MATA;369401,84;-;15819,27;349;175;79276 
PE;SÃO VICENTE FÉRRER;149812,59;-;10803,91;132;66;13205 
PE;SERRA TALHADA;270409,87;-;30685,60;324;162;54087 
PE;SERRITA;108039,06;-;10803,91;155;78;15548 
PE;SERTÂNIA;242558,29;-;15580,51;259;130;25913 
PE;SIRINHAÉM;160112,20;-;13402,46;265;133;26533 
PE;SOLIDÃO;108039,06;-;10803,91;50;25;5003 
PE;SURUBIM;230699,04;-;16940,34;316;158;46122 
PE;TABIRA;108039,06;-;10803,91;185;93;18477 
PE;TACAIMBÓ;108039,06;-;10803,91;96;48;9640 
PE;TACARATU;108039,06;-;10803,91;146;73;14577 
PE;TAMANDARÉ;108039,06;-;10803,91;159;80;15930 
PE;TAQUARITINGA DO NORTE;156788,23;-;19739,68;196;98;19623 
PE;TEREZINHA;108039,06;-;10803,91;62;31;6246 
PE;TERRA NOVA;108039,06;-;10803,91;78;39;7808 
PE;TIMBAÚBA;486007,66;-;40190,97;311;156;40754 
PE;TORITAMA;177005,82;-;10803,91;296;148;29595 
PE;TRACUNHAÉM;108039,06;-;10803,91;111;56;11057 
PE;TRINDADE;108039,06;-;10803,91;225;113;22482 
PE;TRIUNFO;108039,06;-;10803,91;125;63;12470 
PE;TUPANATINGA;180243,27;-;34269,62;176;88;17579 
PE;TUPARETAMA;108039,06;-;10803,91;84;42;8353 
PE;VENTUROSA;108039,06;-;10803,91;133;67;13266 
PE;VERDEJANTE;108039,06;-;10803,91;82;41;8227 
PE;VERTENTE DO LÉRIO;108039,06;-;10803,91;81;41;8121 
PE;VERTENTES;108039,06;-;20599,23;158;79;15781 
PE;VICÊNCIA;178475,95;-;25096,50;212;106;21249 
PE;VITÓRIA DE SANTO ANTÃO;524181,31;-;31540,23;358;179;88379 
PE;XEXÉU;108039,06;-;10803,91;120;60;12047 
PI;ACAUÃ;108039,06;-;14872,64;56;28;5578 
PI;AGRICOLÂNDIA;108039,06;-;34367,58;53;27;5306 
PI;ÁGUA BRANCA;108039,06;-;23125,78;149;75;14925 
PI;ALAGOINHA DO PIAUÍ;108039,06;-;10803,91;61;31;6142 
PI;ALEGRETE DO PIAUÍ;108039,06;-;10803,91;45;23;4543 
PI;ALTO LONGÁ;108039,06;-;54569,23;108;54;10826 
PI;ALTOS;206976,81;-;111219,61;287;144;28721 
PI;ALVORADA DO GURGUÉIA;108039,06;-;10803,91;43;22;4320 
PI;AMARANTE;108039,06;-;19416,42;135;68;13548 
PI;ANGICAL DO PIAUÍ;133913,72;-;26330,40;69;35;6922 
PI;ANÍSIO DE ABREU;108039,06;-;10803,91;61;31;6052 
PI;ANTÔNIO ALMEIDA;108039,06;-;10803,91;27;14;2734 
PI;AROAZES;108039,06;-;20095,26;58;29;5774 
PI;AROEIRAS DO ITAIM;108039,06;-;10803,91;32;16;3191 
PI;ARRAIAL;108039,06;-;19851,88;42;21;4237 
PI;ASSUNÇÃO DO PIAUÍ;108039,06;-;29930,36;58;29;5813 
PI;AVELINO LOPES;108039,06;-;16844,53;91;46;9118 
PI;BAIXA GRANDE DO RIBEIRO;137573,37;-;20533,69;90;45;8984 
PI;BARRA D'ALCÂNTARA;108039,06;-;10803,91;34;17;3413 
PI;BARRAS;250566,34;-;46752,27;302;151;32288 
PI;BARREIRAS DO PIAUÍ;108039,06;-;10803,91;33;17;3329 
PI;BARRO DURO;108039,06;-;10803,91;62;31;6194 
PI;BATALHA;108039,06;-;24286,96;197;99;19662 
PI;BELA VISTA DO PIAUÍ;108039,06;-;10803,91;32;16;3210 
PI;BELÉM DO PIAUÍ;108039,06;-;10803,91;30;15;2961 
PI;BENEDITINOS;108039,06;-;53428,44;92;46;9199 
PI;BERTOLÍNIA;108039,06;-;10803,91;47;24;4690 
PI;BETÂNIA DO PIAUÍ;108039,06;-;15164,48;55;28;5458 
PI;BOA HORA;108039,06;-;21696,61;53;27;5261 
PI;BOCAINA;108039,06;-;14220,38;55;28;5528 
PI;BOM JESUS;192070,84;-;10803,91;153;77;15265 
PI;BOM PRINCÍPIO DO PIAUÍ;108039,06;-;10803,91;54;27;5406 
PI;BONFIM DO PIAUÍ;108039,06;-;13409,72;45;23;4527 
PI;BOQUEIRÃO DO PIAUÍ;108039,06;-;10803,91;55;28;5478 
PI;BRASILEIRA;108039,06;-;10803,91;65;33;6494 
PI;BREJO DO PIAUÍ;108039,06;-;10803,91;33;17;3274 
PI;BURITI DOS LOPES;108039,06;-;38708,27;144;72;14380 
PI;BURITI DOS MONTES;108039,06;-;14797,74;55;28;5453 
PI;CABECEIRAS DO PIAUÍ;143172,13;-;26552,84;83;42;8263 
PI;CAJAZEIRAS DO PIAUÍ;108039,06;-;10803,91;29;15;2902 
PI;CAJUEIRO DA PRAIA;108039,06;-;16637,62;61;31;6063 
PI;CALDEIRÃO GRANDE DO PIAUÍ;108039,06;-;10803,91;49;25;4906 
PI;CAMPINAS DO PIAUÍ;108039,06;-;10803,91;46;23;4624 
PI;CAMPO ALEGRE DO FIDALGO;108039,06;-;13623,58;46;23;4553 
PI;CAMPO GRANDE DO PIAUÍ;146337,78;-;10803,91;50;25;4959 
PI;CAMPO LARGO DO PIAUÍ;108039,06;-;23581,57;53;27;5347 
PI;CAMPO MAIOR;239061,63;-;26656,27;302;151;31790 
PI;CANAVIEIRA;108039,06;-;14438,75;36;18;3552 
PI;CANTO DO BURITI;108039,06;-;10803,91;138;69;13808 
