UF;Município;Limite de Gasto Prefeito 1º Turno;Limite de Gasto Prefeito 2º Turno;Limite de Gasto Vereador;Limite Contratação Prefeito;Limite Contratação Vereador;Eleitorado Apto 
MG;DOM JOAQUIM;242487,07;-;10803,91;40;20;3985 
MG;DOM SILVÉRIO;108039,06;-;10803,91;46;23;4590 
MG;DOM VIÇOSO;108039,06;-;10803,91;29;15;2861 
MG;DONA EUSÉBIA;108039,06;-;10803,91;54;27;5393 
MG;DORES DE CAMPOS;108039,06;-;18884,81;77;39;7703 
MG;DORES DE GUANHÃES;108039,06;-;10803,91;51;26;5140 
MG;DORES DO INDAIÁ;108039,06;-;10803,91;114;57;11439 
MG;DORES DO TURVO;108039,06;-;10803,91;52;26;5197 
MG;DORESÓPOLIS;108039,06;-;10803,91;20;10;1975 
MG;DOURADOQUARA;108039,06;-;10803,91;18;9;1844 
MG;DURANDÉ;108039,06;-;10803,91;66;33;6581 
MG;ELÓI MENDES;108039,06;-;10803,91;197;99;19685 
MG;ENGENHEIRO CALDAS;219567,38;-;25946,66;77;39;7718 
MG;ENGENHEIRO NAVARRO;108039,06;-;10803,91;64;32;6362 
MG;ENTRE FOLHAS;108039,06;-;10803,91;59;30;5870 
MG;ENTRE RIOS DE MINAS;108039,06;-;10803,91;119;60;11944 
MG;ERVÁLIA;108039,06;-;10803,91;165;83;16472 
MG;ESMERALDAS;676726,15;-;47035,53;315;158;45206 
MG;ESPERA FELIZ;176443,64;-;10803,91;164;82;16429 
MG;ESPINOSA;108039,06;-;17596,81;210;105;20975 
MG;ESPÍRITO SANTO DO DOURADO;108039,06;-;10803,91;46;23;4575 
MG;ESTIVA;108039,06;-;20209,72;89;45;8866 
MG;ESTRELA DALVA;108039,06;-;10803,91;27;14;2669 
MG;ESTRELA DO INDAIÁ;108039,06;-;10803,91;31;16;3102 
MG;ESTRELA DO SUL;313119,45;-;10803,91;60;30;6012 
MG;EUGENÓPOLIS;108039,06;-;10803,91;86;43;8614 
MG;EWBANK DA CÂMARA;108039,06;-;10803,91;41;21;4110 
MG;EXTREMA;339181,93;-;70562,10;283;142;28333 
MG;FAMA;108039,06;-;10803,91;30;15;2990 
MG;FARIA LEMOS;108039,06;-;10803,91;31;16;3139 
MG;FELÍCIO DOS SANTOS;108039,06;-;10803,91;50;25;4981 
MG;FELISBURGO;108039,06;-;10803,91;56;28;5623 
MG;FELIXLÂNDIA;108039,06;-;10803,91;120;60;11986 
MG;FERNANDES TOURINHO;108039,06;-;10803,91;29;15;2904 
MG;FERROS;348114,93;-;20366,70;89;45;8850 
MG;FERVEDOURO;108039,06;-;10803,91;86;43;8644 
MG;FLORESTAL;108039,06;-;10803,91;62;31;6180 
MG;FORMIGA;434909,39;-;56340,19;324;162;54392 
MG;FORMOSO;164222,23;-;10803,91;60;30;6012 
MG;FORTALEZA DE MINAS;108039,06;-;10803,91;35;18;3519 
MG;FORTUNA DE MINAS;108039,06;-;10803,91;29;15;2855 
MG;FRANCISCO BADARÓ;108039,06;-;10803,91;76;38;7592 
MG;FRANCISCO DUMONT;108039,06;-;10803,91;46;23;4644 
MG;FRANCISCO SÁ;273290,10;-;10803,91;192;96;19195 
MG;FRANCISCÓPOLIS;108039,06;-;10803,91;53;27;5250 
MG;FREI GASPAR;108039,06;-;10803,91;53;27;5317 
MG;FREI INOCÊNCIO;108039,06;-;10803,91;72;36;7219 
MG;FREI LAGONEGRO;108039,06;-;10803,91;31;16;3086 
MG;FRONTEIRA;179301,32;-;18574,33;105;53;10492 
MG;FRONTEIRA DOS VALES;158609,87;-;10803,91;44;22;4448 
MG;FRUTA DE LEITE;108039,06;-;13418,54;53;27;5262 
MG;FRUTAL;1115194,12;-;22091,70;312;156;41597 
MG;FUNILÂNDIA;108039,06;-;10803,91;45;23;4488 
MG;GALILÉIA;108039,06;-;10803,91;55;28;5466 
MG;GAMELEIRAS;108039,06;-;10803,91;44;22;4403 
