;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ALAGOINHA;Vereador;40633;LUCIANO ANTONIO ARAUJO;LUCIANO DE BIU DE TÉU;PSB / ALAGOINHA NÃO PODE PARAR;530;Eleito por QP
;2016;1º Turno;ALAGOINHA;Vereador;55777;RUTH CARLA DE BRITO FELISMINO RODRIGUES;RUTH CARLA;PSD / ALAGOINHA NÃO PODE PARAR;508;Eleito por QP
;2016;1º Turno;ALAGOINHA;Vereador;22222;GIVANILDO BARBOSA DA SILVA;KITO;PR / POR UMA ALAGOINHA MELHOR;408;Eleito por QP
;2016;1º Turno;ALAGOINHA;Vereador;15555;GUSTAVO FRANCISCO DE ALMEIDA;CHICO FRANCISCO;PMDB / POR UMA ALAGOINHA MELHOR;404;Eleito por QP
;2016;1º Turno;ALAGOINHA;Vereador;15613;VALTER PIMENTEL;VALTER PIMENTEL;PMDB / POR UMA ALAGOINHA MELHOR;388;Eleito por média
;2016;1º Turno;ALCANTIL;Prefeito;10;JOSÉ MILTON RODRIGUES;MILTON;PRB / ALCANTIL TERRA DA GENTE;1.997;Eleito
;2016;1º Turno;ALCANTIL;Vereador;43333;MOISES MARQUES DE SOUSA;MOISES;PV / ALCANTIL TERRA DA GENTE II;419;Eleito por QP
;2016;1º Turno;ALCANTIL;Vereador;45333;ELIAS RAFAEL COSTA;ELIAS RAFAEL;PSDB / VAMOS UNIDOS PARA VENCER;318;Eleito por QP
;2016;1º Turno;ALCANTIL;Vereador;55678;JOSÉ FRANCISCO DA SILVA;CHICO DA BOIADEIRA;PSD / ALCANTIL TERRA DA GENTE II;270;Eleito por QP
;2016;1º Turno;ALCANTIL;Vereador;13333;EDVALDO AMARO DA SILVA;DAL;PT / ALCANTIL TERRA DA GENTE II;239;Eleito por QP
;2016;1º Turno;ALCANTIL;Vereador;45555;ROMONOVAL ALVES DA COSTA;NOVAL;PSDB / VAMOS UNIDOS PARA VENCER;209;Eleito por QP
;2016;1º Turno;ALCANTIL;Vereador;22200;INACIO CICERO DOS SANTOS;INACIO CAPIBARIBE;PR / VAMOS UNIDOS PARA VENCER;205;Eleito por QP
;2016;1º Turno;ALCANTIL;Vereador;40100;JOSÉ MILTON DE ALMEIDA;MILTÃO;PSB / ALCANTIL TERRA DA GENTE II;192;Eleito por média
;2016;1º Turno;ALCANTIL;Vereador;45444;JOSE JANIO DE SOUSA;JANINHO DE BARRA DE AROEIRAS;PSDB / VAMOS UNIDOS PARA VENCER;175;Eleito por média
;2016;1º Turno;ALCANTIL;Vereador;65123;ISMAEL ROBSON DA SILVA;ROBINHO;PC do B / ALCANTIL TERRA DA GENTE I;173;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Prefeito;55;MARICLEIDE IZIDRO DA SILVA;MARICLEIDE;PSD / ALGODÃO UNIDO - ESPERANÇA RENOVADA;1.234;Eleito
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;11111;JOSEFA DA CONCEICAO DOS SANTOS E SANTOS;ZEFINHA DE ARMANDO;PP / PRA FRENTE ALGODAO II;216;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;20000;LEANDRO DA SILVA BARBOSA;LEANDRO SILVA;PSC / PRA FRENTE ALGODAO II;193;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;11000;ADAO BATISTA DA SILVA;ADAO DE JANDAIRA;PP / PRA FRENTE ALGODAO II;187;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;11333;JOSE DAMIAO SILVA RODRIGUES;SACI PERERE;PP / PRA FRENTE ALGODAO II;167;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;15555;RODRIGO DA SILVA LUNA;RODRIGO LUNA;PMDB / ALGODÃO UNIDO - ESPERANÇA RENOVADA;161;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;11234;MARIA APARECIDA DE MEDEIROS;CIDA CANUTO;PP / PRA FRENTE ALGODAO II;148;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;55111;DÊCIO GEOVÂNIO DA SILVA;DÉCIO;PSD / ALGODÃO UNIDO - ESPERANÇA RENOVADA;126;Eleito por QP
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;17123;JOSÉ ALEXANDRE RAFAEL DOS SANTOS;ALEXANDRE RAFAEL;PSL / ALGODÃO UNIDO - ESPERANÇA RENOVADA;124;Eleito por média
;2016;1º Turno;ALGODÃO DE JANDAÍRA;Vereador;55555;JOSÉ TOMAZ COÊLHO;ZEZINHO COELHO;PSD / ALGODÃO UNIDO - ESPERANÇA RENOVADA;124;Eleito por QP
;2016;1º Turno;ALHANDRA;Prefeito;25;RENATO MENDES LEITE;RENATO MENDES;DEM / A VONTADE DO POVO;7.722;Eleito
;2016;1º Turno;ALHANDRA;Vereador;45666;CLAUDIO JANUARIO NUNES;BUGA;PSDB / A VONTADE DO POVO 3;732;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;25888;DANIEL MIGUEL DA SILVA;DANIEL MIGUEL;DEM / A VONTADE DO POVO 2;708;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;13333;VALFREDO JOSE DA SILVA;PROFESSOR VALFREDO;PT / A VONTADE DO POVO 3;600;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;11666;CLOVIS CONSTANTINO DA SILVA;COCÓ;PP / A FORÇA DO TRABALHO I;579;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;31123;JOAO FERREIRA DA SILVA FILHO;JOÃO SUFOCO;PHS / A VONTADE DO POVO 3;513;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;15123;LUCIANO BRAGA LIRA;DUY BRAGA;PMDB / A FORÇA DO TRABALHO I;489;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;15789;EDIELSON NUNES DOS SANTOS;EDIELSON NUNES;PMDB / A FORÇA DO TRABALHO I;485;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;15000;SEVERINO BELMIRO ALVES;SARGENTO VAL;PMDB / A FORÇA DO TRABALHO I;452;Eleito por média
;2016;1º Turno;ALHANDRA;Vereador;65555;JOSE GOMES DA SILVA;DEL DA GALINHA;PC do B / A FORÇA DO TRABALHO II;382;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;25111;MOIZES MARINHO DA SILVA;MOIZES MARINHO;DEM / A VONTADE DO POVO 2;361;Eleito por QP
;2016;1º Turno;ALHANDRA;Vereador;65222;FRANCILDO ANTONIO TRAJANO GOMES;PROF. FRAN / FRANCILDO;PC do B / A FORÇA DO TRABALHO II;348;Eleito por média
;2016;1º Turno;AMPARO;Prefeito;25;INÁCIO LUIZ NÓBREGA DA SILVA;INÁCIO NÓBREGA;DEM / AMPARO PEDE MUDANÇAS. FORTE É O POVO!;1.030;Eleito
;2016;1º Turno;AMPARO;Vereador;70888;CICERO FRANCISCO MACIEL;CICERO DE EMERITA;PT do B / AMPARO DE TODOS, AGORA CADA VEZ MELHOR II;181;Eleito por QP
;2016;1º Turno;AMPARO;Vereador;25123;BRUNO SILVA NASCIMENTO;BRUNO SERAFIM;DEM / AMPARO PEDE MUDANÇAS. FORTE É O POVO!;166;Eleito por QP
;2016;1º Turno;AMPARO;Vereador;12333;ELIEZIO BARNABE DE SOUZA;DUDA;PDT / AMPARO DE TODOS, AGORA CADA VEZ MELHOR I;160;Eleito por QP
;2016;1º Turno;AMPARO;Vereador;40000;MARIA JOSE VIEIRA DA COSTA PEDROSA;MARIA DE DETA;PSB / AMPARO DE TODOS, AGORA CADA VEZ MELHOR I;148;Eleito por QP
;2016;1º Turno;AMPARO;Vereador;12000;JOAO LUIS DE LACERDA JUNIOR;DR JOÃO;PDT / AMPARO DE TODOS, AGORA CADA VEZ MELHOR I;140;Eleito por QP
;2016;1º Turno;AMPARO;Vereador;90000;JOSE NELSON DE BRITO;NELSON DE COSMO;PROS / AMPARO DE TODOS, AGORA CADA VEZ MELHOR II;137;Eleito por QP
;2016;1º Turno;AMPARO;Vereador;90123;LUIZ FERNANDO DA SILVA;FERNANDO SEVERO;PROS / AMPARO DE TODOS, AGORA CADA VEZ MELHOR II;130;Eleito por QP
