"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"LONDRINA";"360.568";"360.568";"299.836";"60.732";"1.012";"1.012"
"SEVERIANO DE ALMEIDA";"3.481";"3.481";"3.335";"146";"16";"16"
"LOANDA";"15.684";"15.684";"12.830";"2.854";"46";"46"
"SANTO ANTÔNIO DO PINHAL";"6.047";"6.047";"5.080";"967";"16";"16"
"RAPOSOS";"11.655";"11.655";"10.851";"804";"38";"38"
"MATOZINHOS";"27.649";"27.649";"23.837";"3.812";"78";"78"
"ITABIRITO";"36.441";"36.441";"31.877";"4.564";"112";"112"
"ITÁPOLIS";"30.966";"30.966";"24.427";"6.539";"79";"79"
"PLANALTO";"39.690";"39.690";"34.850";"4.840";"141";"141"
"FORMOSO";"9.923";"9.923";"8.947";"976";"38";"38"
"COITÉ DO NÓIA";"7.584";"7.584";"6.752";"832";"22";"22"
"RIVERSUL";"4.849";"4.849";"3.973";"876";"16";"16"
"ARCOS";"29.081";"29.081";"25.548";"3.533";"92";"92"
"VALENÇA";"117.449";"117.449";"93.312";"24.137";"347";"347"
"SÃO VICENTE FERRER";"13.726";"13.726";"12.143";"1.583";"56";"56"
"CACHOEIRA DO PIRIÁ";"12.879";"12.879";"10.504";"2.375";"43";"43"
"JAGUARIBARA";"7.978";"7.978";"6.959";"1.019";"28";"28"
"SERTÃOZINHO";"87.479";"87.479";"72.850";"14.629";"222";"222"
"CURRAL DE DENTRO";"5.865";"5.865";"4.827";"1.038";"16";"16"
"FONTOURA XAVIER";"8.901";"8.901";"7.818";"1.083";"32";"32"
"PENAFORTE";"6.626";"6.626";"6.045";"581";"24";"24"
"RIO BANANAL";"14.421";"14.421";"12.364";"2.057";"48";"48"
"TARRAFAS";"7.395";"7.395";"6.136";"1.259";"27";"27"
"COTIA";"141.528";"141.528";"120.813";"20.715";"398";"398"
"BÁLSAMO";"6.586";"6.586";"5.996";"590";"20";"20"
"JACUÍ";"6.209";"6.209";"5.247";"962";"18";"18"
