"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"LAJEDÃO";"4.347";"4.347";"3.901";"446";"27";"27"
"CAMARAGIBE";"113.582";"113.582";"98.631";"14.951";"297";"297"
"SÃO JULIÃO";"5.279";"5.279";"4.741";"538";"17";"17"
"BRASILÉIA";"16.345";"16.345";"13.568";"2.777";"59";"59"
"CORONEL MACEDO";"4.413";"4.413";"4.022";"391";"14";"14"
"ITAUÇU";"6.818";"6.818";"6.240";"578";"28";"28"
"CAPITÃO ENÉAS";"11.772";"11.772";"9.636";"2.136";"40";"40"
"SÃO JOÃO BATISTA";"34.206";"34.206";"31.183";"3.023";"136";"136"
"CRISTINÁPOLIS";"11.211";"11.211";"9.992";"1.219";"43";"43"
"FRANCISCO BADARÓ";"7.484";"7.484";"5.058";"2.426";"29";"29"
"SANTO ANTÔNIO DO MONTE";"18.601";"18.601";"16.142";"2.459";"56";"56"
"SANTO ANTÔNIO DO JACINTO";"8.851";"8.851";"7.298";"1.553";"29";"29"
"IBITIARA";"11.151";"11.151";"9.161";"1.990";"41";"41"
"TRÊS RIOS";"59.328";"59.328";"50.164";"9.164";"183";"183"
"PORTO FRANCO";"16.223";"16.223";"13.612";"2.611";"50";"50"
"TRÊS FRONTEIRAS";"4.789";"4.789";"4.173";"616";"16";"16"
"NOVO ORIENTE DE MINAS";"8.984";"8.984";"6.406";"2.578";"25";"25"
"PARAÍBA DO SUL";"33.099";"33.099";"27.419";"5.680";"98";"98"
"MASCOTE";"9.210";"9.210";"7.532";"1.678";"29";"29"
"TAMARANA";"9.008";"9.008";"7.657";"1.351";"26";"26"
"CORONEL VIVIDA";"16.300";"16.300";"14.575";"1.725";"65";"65"
"FIRMINÓPOLIS";"8.012";"8.012";"7.000";"1.012";"31";"31"
"DENISE";"6.117";"6.117";"5.194";"923";"15";"15"
"VICTOR GRAEFF";"2.640";"2.640";"2.475";"165";"12";"12"
"SALDANHA MARINHO";"2.746";"2.746";"2.626";"120";"10";"10"
"ROCA SALES";"7.777";"7.777";"7.246";"531";"27";"27"
"CHÃ GRANDE";"16.702";"16.702";"14.616";"2.086";"43";"43"
"LONTRAS";"7.810";"7.810";"7.043";"767";"22";"22"
"LUZILÂNDIA";"19.408";"19.408";"15.215";"4.193";"62";"62"
"IGARAPÉ-MIRI";"43.906";"43.906";"37.187";"6.719";"133";"133"
"ITAPIÚNA";"16.103";"16.103";"13.732";"2.371";"52";"52"
"DESTERRO";"6.876";"6.876";"5.614";"1.262";"22";"22"
"COSTA MARQUES";"8.756";"8.756";"7.002";"1.754";"25";"25"
"FORMIGA";"52.842";"52.842";"44.552";"8.290";"166";"166"
"FLORAÍ";"4.455";"4.455";"4.178";"277";"16";"16"
"CURUÇÁ";"27.745";"27.745";"23.573";"4.172";"85";"85"
"LONTRA";"7.739";"7.739";"6.417";"1.322";"22";"22"
"SAQUAREMA";"60.359";"60.359";"48.675";"11.684";"173";"173"
"LAURO MÜLLER";"12.139";"12.139";"11.085";"1.054";"40";"40"
"SÃO JOÃO DO MANTENINHA";"4.956";"4.956";"4.506";"450";"16";"16"
"NOVA CANAÃ";"12.479";"12.479";"9.978";"2.501";"36";"36"
"PINHEIRO PRETO";"2.670";"2.670";"2.476";"194";"7";"7"
"INHUMAS";"39.025";"39.025";"33.219";"5.806";"113";"113"
"SÃO PEDRO DOS FERROS";"7.004";"7.004";"5.489";"1.515";"23";"23"
"SÃO BENTO DO NORTE";"3.254";"3.254";"3.044";"210";"10";"10"
"SÃO MIGUEL DO ARAGUAIA";"18.394";"18.394";"14.471";"3.923";"56";"56"
"VILA BELA DA SANTÍSSIMA TRINDADE";"9.740";"9.740";"8.137";"1.603";"32";"32"
"CEARÁ-MIRIM";"50.034";"50.034";"42.815";"7.219";"155";"155"
"CAMPO LARGO DO PIAUÍ";"4.166";"4.166";"3.685";"481";"14";"14"
"MATINHA";"18.052";"18.052";"15.465";"2.587";"55";"55"
"POÇO DAS ANTAS";"1.913";"1.913";"1.849";"64";"6";"6"
"GURINHATÃ";"5.568";"5.568";"4.723";"845";"24";"24"
"CAMPO GRANDE";"576.662";"576.662";"482.555";"94.107";"1.539";"1.539"
"OLIVEIRA";"31.281";"31.281";"26.473";"4.808";"98";"98"
"IPUIÚNA";"7.575";"7.575";"6.801";"774";"20";"20"
"LUISBURGO";"5.221";"5.221";"4.648";"573";"17";"17"
"SANTA ROSA DA SERRA";"3.160";"3.160";"2.801";"359";"9";"9"
"SANTO ANTÔNIO DAS MISSÕES";"9.555";"9.555";"7.702";"1.853";"34";"34"
"AGROLÂNDIA";"7.420";"7.420";"6.838";"582";"19";"19"
"LEOBERTO LEAL";"3.000";"3.000";"2.869";"131";"9";"9"
"COQUEIRAL";"7.659";"7.659";"6.431";"1.228";"21";"21"
"TANQUE NOVO";"12.142";"12.142";"10.214";"1.928";"39";"39"
"SÃO GONÇALO DOS CAMPOS";"22.903";"22.903";"20.563";"2.340";"73";"73"
"CACIQUE DOBLE";"3.912";"3.912";"3.686";"226";"13";"13"
"ARABUTÃ";"3.686";"3.686";"3.475";"211";"15";"15"
"JUNCO DO SERIDÓ";"5.264";"5.264";"4.606";"658";"19";"19"
"NOVO SANTO ANTÔNIO";"5.466";"5.466";"4.643";"823";"17";"17"
"SAPIRANGA";"58.216";"58.216";"51.189";"7.027";"166";"166"
"MARI";"16.796";"16.796";"13.631";"3.165";"61";"61"
"SÃO SALVADOR DO TOCANTINS";"2.520";"2.520";"2.085";"435";"10";"10"
"TERRA ROXA";"19.356";"19.356";"16.995";"2.361";"68";"68"
"QUEIMADAS";"50.666";"50.666";"41.367";"9.299";"154";"154"
"POXORÉU";"13.909";"13.909";"11.168";"2.741";"43";"43"
"TAPERA";"8.171";"8.171";"7.155";"1.016";"27";"27"
"FAZENDA RIO GRANDE";"60.173";"60.173";"51.174";"8.999";"176";"176"
"BREJO";"23.580";"23.580";"18.992";"4.588";"81";"81"
"CALIFÓRNIA";"6.878";"6.878";"5.974";"904";"25";"25"
"PEABIRU";"10.597";"10.597";"8.624";"1.973";"33";"33"
"COLORADO DO OESTE";"13.318";"13.318";"11.142";"2.176";"59";"59"
"PINHAL DE SÃO BENTO";"2.184";"2.184";"1.974";"210";"7";"7"
"TERRA RICA";"11.837";"11.837";"10.083";"1.754";"36";"36"
"CUMARU";"15.300";"15.300";"12.539";"2.761";"46";"46"
"JUARA";"23.627";"23.627";"18.495";"5.132";"61";"61"
"AÇUCENA";"8.671";"8.671";"6.532";"2.139";"28";"28"
"OURO";"5.934";"5.934";"5.499";"435";"25";"25"
"MARZAGÃO";"2.119";"2.119";"1.893";"226";"7";"7"
"CANABRAVA DO NORTE";"3.978";"3.978";"3.234";"744";"12";"12"
"MIRANTE DO PARANAPANEMA";"14.434";"14.434";"11.429";"3.005";"39";"39"
"SILVEIRAS";"5.319";"5.319";"4.626";"693";"16";"16"
"MARAVILHAS";"5.982";"5.982";"5.352";"630";"17";"17"
"JORDÂNIA";"8.133";"8.133";"6.381";"1.752";"26";"26"
"ALTA FLORESTA";"36.959";"36.959";"29.136";"7.823";"94";"94"
"ESPERANÇA NOVA";"1.868";"1.868";"1.759";"109";"7";"7"
"CAMPINAS";"785.274";"785.274";"631.996";"153.278";"2.062";"2.062"
"JUVENÍLIA";"5.516";"5.516";"4.587";"929";"21";"21"
"MANHUAÇU";"53.730";"53.730";"44.572";"9.158";"158";"158"
"SANTO ANTÔNIO DO LEVERGER";"13.012";"13.012";"12.338";"674";"57";"57"
"CAMPINA DA LAGOA";"12.295";"12.295";"10.254";"2.041";"53";"53"
"ITUBERÁ";"19.083";"19.083";"14.905";"4.178";"61";"61"
"PARINTINS";"61.062";"61.062";"46.916";"14.146";"203";"203"
"SILVÂNIA";"14.585";"14.585";"12.801";"1.784";"44";"44"
"HIDROLÂNDIA";"29.377";"29.377";"25.020";"4.357";"100";"100"
"CIANORTE";"51.885";"51.885";"42.955";"8.930";"140";"140"
"MARTINÓPOLE";"8.470";"8.470";"7.592";"878";"25";"25"
"MALHADA DE PEDRAS";"6.774";"6.774";"6.068";"706";"22";"22"
"CAPIM";"4.466";"4.466";"3.943";"523";"14";"14"
"ESTRELA DO SUL";"6.030";"6.030";"5.442";"588";"20";"20"
"GUAÍBA";"70.456";"70.456";"60.728";"9.728";"207";"207"
"ITORORÓ";"16.346";"16.346";"12.782";"3.564";"56";"56"
"PALMAS";"178.355";"178.355";"148.955";"29.400";"560";"560"
"JOSÉ DA PENHA";"5.193";"5.193";"4.520";"673";"18";"18"
"LUZIÂNIA";"110.630";"110.630";"92.091";"18.539";"313";"313"
"CAXIAS";"106.930";"106.930";"80.917";"26.013";"358";"358"
"LAVANDEIRA";"1.469";"1.469";"1.379";"90";"4";"4"
"SANTA BÁRBARA DE GOIÁS";"4.918";"4.918";"4.361";"557";"17";"17"
"LAJEDO DO TABOCAL";"5.812";"5.812";"4.814";"998";"24";"24"
"URUPEMA";"2.226";"2.226";"2.104";"122";"8";"8"
"BRITÂNIA";"4.907";"4.907";"4.264";"643";"15";"15"
"RIBEIRÓPOLIS";"12.599";"12.599";"11.942";"657";"56";"56"
"SÃO JOSÉ DO RIO CLARO";"11.196";"11.196";"8.920";"2.276";"29";"29"
"CIDADE OCIDENTAL";"34.692";"34.692";"28.841";"5.851";"102";"102"
"ALVARÃES";"8.957";"8.957";"7.456";"1.501";"24";"24"
"CAMPANÁRIO";"3.285";"3.285";"2.810";"475";"11";"11"
"SÃO JOÃO DA MATA";"2.774";"2.774";"2.558";"216";"9";"9"
"IGUARACI";"9.982";"9.982";"7.515";"2.467";"35";"35"
"ANÍSIO DE ABREU";"6.326";"6.326";"5.437";"889";"21";"21"
"ARARA";"9.528";"9.528";"7.275";"2.253";"25";"25"
"SANTO ANTÔNIO DO AVENTUREIRO";"3.224";"3.224";"3.060";"164";"14";"14"
"CHAPECÓ";"131.561";"131.561";"114.619";"16.942";"358";"358"
"ERECHIM";"73.912";"73.912";"62.914";"10.998";"203";"203"
"CAPIVARI DO SUL";"3.207";"3.207";"2.881";"326";"9";"9"
"UIRAMUTÃ";"4.602";"4.602";"4.020";"582";"19";"19"
"RAUL SOARES";"17.043";"17.043";"14.369";"2.674";"65";"65"
"SANTANA DA VARGEM";"5.757";"5.757";"5.275";"482";"17";"17"
"MESSIAS TARGINO";"4.106";"4.106";"3.877";"229";"17";"17"
"NOVA PALMEIRA";"3.267";"3.267";"2.992";"275";"10";"10"
"CARAPICUÍBA";"271.300";"271.300";"227.042";"44.258";"731";"731"
"JACUPIRANGA";"13.641";"13.641";"10.284";"3.357";"42";"42"
"SÃO JOSÉ DO GOIABAL";"4.762";"4.762";"3.862";"900";"15";"15"
"AUGUSTO PESTANA";"6.100";"6.100";"5.673";"427";"28";"28"
"CEZARINA";"7.661";"7.661";"6.815";"846";"22";"22"
"GUAJARÁ-MIRIM";"27.451";"27.451";"21.481";"5.970";"80";"80"
"MORUNGABA";"9.497";"9.497";"8.418";"1.079";"27";"27"
"POÇÃO";"9.250";"9.250";"7.859";"1.391";"29";"29"
"PAES LANDIM";"3.610";"3.610";"3.135";"475";"13";"13"
"ABAETETUBA";"95.298";"95.298";"80.692";"14.606";"292";"292"
"ITURAMA";"27.323";"27.323";"23.255";"4.068";"80";"80"
"ÁGUAS DE SÃO PEDRO";"4.213";"4.213";"3.502";"711";"11";"11"
"SÃO JOSÉ DO JACUÍPE";"7.532";"7.532";"6.520";"1.012";"22";"22"
"ARAÇOIABA";"15.161";"15.161";"12.999";"2.162";"41";"41"
"BERTIOGA";"38.287";"38.287";"30.407";"7.880";"112";"112"
"NOVA MAMORÉ";"15.259";"15.259";"12.638";"2.621";"41";"41"
"RIBEIRÃO PIRES";"87.318";"87.318";"73.493";"13.825";"258";"258"
"JARDIM DE PIRANHAS";"11.417";"11.417";"10.291";"1.126";"31";"31"
"CENTRAL";"12.348";"12.348";"10.615";"1.733";"50";"50"
"PIRES DO RIO";"22.195";"22.195";"18.204";"3.991";"67";"67"
"MURUTINGA DO SUL";"3.536";"3.536";"3.060";"476";"11";"11"
"TOUROS";"22.944";"22.944";"19.943";"3.001";"73";"73"
"JALES";"37.217";"37.217";"29.925";"7.292";"107";"107"
"APARECIDA D'OESTE";"3.979";"3.979";"3.471";"508";"12";"12"
"CALDAS";"10.474";"10.474";"9.302";"1.172";"40";"40"
"SANTA CRUZ DO ESCALVADO";"4.633";"4.633";"4.026";"607";"16";"16"
"SANTA EFIGÊNIA DE MINAS";"3.589";"3.589";"3.381";"208";"12";"12"
"ARMAÇÃO DOS BÚZIOS";"21.953";"21.953";"19.444";"2.509";"65";"65"
"VERANÓPOLIS";"18.274";"18.274";"15.759";"2.515";"65";"65"
"ASTORGA";"20.292";"20.292";"17.058";"3.234";"59";"59"
"ARCOVERDE";"47.158";"47.158";"37.588";"9.570";"156";"156"
"GLÓRIA DO GOITÁ";"22.577";"22.577";"18.073";"4.504";"61";"61"
"JANAÚBA";"48.287";"48.287";"39.384";"8.903";"156";"156"
"CATURAMA";"6.971";"6.971";"6.130";"841";"25";"25"
"HORIZONTINA";"14.785";"14.785";"12.841";"1.944";"45";"45"
"UPANEMA";"10.310";"10.310";"9.455";"855";"35";"35"
"BURITI DO TOCANTINS";"6.420";"6.420";"5.105";"1.315";"19";"19"
"RIO MARIA";"12.924";"12.924";"10.794";"2.130";"52";"52"
"ITANHOMI";"9.588";"9.588";"8.268";"1.320";"35";"35"
"ANTÔNIO PRADO DE MINAS";"1.739";"1.739";"1.643";"96";"5";"5"
"ESPÍRITO SANTO DO PINHAL";"33.539";"33.539";"26.812";"6.727";"94";"94"
"WALL FERRAZ";"3.647";"3.647";"3.132";"515";"14";"14"
"BONFINÓPOLIS DE MINAS";"5.108";"5.108";"4.294";"814";"20";"20"
"WAGNER";"7.194";"7.194";"5.500";"1.694";"26";"26"
"JOÃO DOURADO";"17.130";"17.130";"13.953";"3.177";"52";"52"
"ITACURUBA";"4.392";"4.392";"4.088";"304";"16";"16"
"MONTE DAS GAMELEIRAS";"2.795";"2.795";"2.311";"484";"9";"9"
"CORUMBÁ";"68.911";"68.911";"54.058";"14.853";"222";"222"
"MONGAGUÁ";"40.162";"40.162";"30.721";"9.441";"106";"106"
"BURITIZEIRO";"20.058";"20.058";"15.897";"4.161";"62";"62"
"FERNANDES PINHEIRO";"5.637";"5.637";"5.068";"569";"18";"18"
"QUERÊNCIA DO NORTE";"8.790";"8.790";"7.241";"1.549";"28";"28"
"CORONEL MARTINS";"2.068";"2.068";"1.957";"111";"7";"7"
"SÃO JOSÉ DAS PALMEIRAS";"3.252";"3.252";"3.006";"246";"12";"12"
"NATALÂNDIA";"2.926";"2.926";"2.682";"244";"10";"10"
"SANTIAGO";"39.029";"39.029";"30.825";"8.204";"133";"133"
"TANABI";"20.002";"20.002";"16.745";"3.257";"59";"59"
"COLÔMBIA";"5.636";"5.636";"4.892";"744";"16";"16"
"CONGONHAS DO NORTE";"4.085";"4.085";"3.326";"759";"12";"12"
"WENCESLAU GUIMARÃES";"14.566";"14.566";"12.670";"1.896";"44";"44"
"MATO QUEIMADO";"1.686";"1.686";"1.548";"138";"6";"6"
"FERNANDO FALCÃO";"6.597";"6.597";"6.038";"559";"26";"26"
"GUIMARÃES";"10.441";"10.441";"8.375";"2.066";"38";"38"
"PEDRAS DE FOGO";"18.624";"18.624";"17.087";"1.537";"72";"72"
"APUCARANA";"91.700";"91.700";"76.250";"15.450";"264";"264"
"RELVADO";"2.160";"2.160";"2.026";"134";"9";"9"
"GOIANINHA";"17.783";"17.783";"15.872";"1.911";"57";"57"
"BELA VISTA DO MARANHÃO";"8.861";"8.861";"7.205";"1.656";"28";"28"
"INGÁ";"13.592";"13.592";"11.540";"2.052";"50";"50"
"COMBINADO";"3.855";"3.855";"3.263";"592";"11";"11"
"IBIÚNA";"56.712";"56.712";"46.130";"10.582";"151";"151"
"MAUÁ";"293.145";"293.145";"250.314";"42.831";"803";"803"
"SENHORA DOS REMÉDIOS";"7.471";"7.471";"6.803";"668";"29";"29"
"PORTO ALEGRE DO PIAUÍ";"2.012";"2.012";"1.686";"326";"6";"6"
"JACARÉ DOS HOMENS";"4.105";"4.105";"3.769";"336";"14";"14"
"COARI";"44.313";"44.313";"36.970";"7.343";"140";"140"
"MERCEDES";"4.278";"4.278";"3.934";"344";"16";"16"
"JACAREZINHO";"31.386";"31.386";"25.036";"6.350";"107";"107"
"SÃO JOSÉ DO CEDRO";"10.863";"10.863";"9.921";"942";"31";"31"
"POCONÉ";"23.074";"23.074";"18.908";"4.166";"59";"59"
"MONTE ALTO";"36.678";"36.678";"29.803";"6.875";"106";"106"
"IGUAÍ";"20.035";"20.035";"14.493";"5.542";"61";"61"
"CORONEL BICACO";"6.381";"6.381";"5.784";"597";"24";"24"
"PINGO D'ÁGUA";"4.255";"4.255";"3.777";"478";"11";"11"
"MACURURÉ";"6.540";"6.540";"5.456";"1.084";"21";"21"
"ALAGOINHA DO PIAUÍ";"6.218";"6.218";"5.312";"906";"20";"20"
"SÃO JOSÉ DO SERIDÓ";"3.955";"3.955";"3.742";"213";"11";"11"
"POÇO DANTAS";"3.470";"3.470";"2.837";"633";"11";"11"
"CHAPADÃO DO SUL";"13.470";"13.470";"11.022";"2.448";"45";"45"
"VITÓRIA";"255.367";"255.367";"205.970";"49.397";"617";"617"
"CASTILHO";"13.774";"13.774";"12.175";"1.599";"39";"39"
"POMPÉIA";"15.235";"15.235";"13.556";"1.679";"43";"43"
"CASA BRANCA";"20.935";"20.935";"16.137";"4.798";"59";"59"
"BARÃO DE COCAIS";"21.912";"21.912";"18.655";"3.257";"64";"64"
"ARANTINA";"2.741";"2.741";"2.534";"207";"10";"10"
"DOIS IRMÃOS DAS MISSÕES";"2.005";"2.005";"1.869";"136";"8";"8"
"CURRAIS NOVOS";"33.002";"33.002";"27.146";"5.856";"96";"96"
"ICAPUÍ";"15.728";"15.728";"13.865";"1.863";"49";"49"
"ARAPONGAS";"79.109";"79.109";"66.522";"12.587";"217";"217"
"CENTENÁRIO DO SUL";"8.837";"8.837";"7.567";"1.270";"33";"33"
"DEODÁPOLIS";"9.241";"9.241";"8.172";"1.069";"35";"35"
"SÃO JOÃO DE IRACEMA";"1.640";"1.640";"1.528";"112";"5";"5"
"PIÊN";"8.737";"8.737";"8.190";"547";"30";"30"
"JABORÁ";"3.659";"3.659";"3.538";"121";"17";"17"
"ITAREMA";"28.637";"28.637";"23.768";"4.869";"88";"88"
"JUNQUEIRO";"16.019";"16.019";"14.337";"1.682";"53";"53"
"ALTO PARNAÍBA";"7.677";"7.677";"6.282";"1.395";"26";"26"
"IACRI";"5.393";"5.393";"4.706";"687";"16";"16"
"BOCA DO ACRE";"18.822";"18.822";"14.597";"4.225";"60";"60"
"CAMPESTRE DO MARANHÃO";"9.763";"9.763";"7.721";"2.042";"32";"32"
"BOCA DA MATA";"17.748";"17.748";"16.169";"1.579";"55";"55"
"SANTO ANTÔNIO DE PÁDUA";"32.402";"32.402";"27.129";"5.273";"109";"109"
"IBIRAIARAS";"5.703";"5.703";"5.244";"459";"24";"24"
"BALNEÁRIO ARROIO DO SILVA";"8.546";"8.546";"7.497";"1.049";"22";"22"
"TAMBORIL DO PIAUÍ";"2.771";"2.771";"2.229";"542";"8";"8"
"ICARAÍ DE MINAS";"7.271";"7.271";"6.335";"936";"29";"29"
"LUISLÂNDIA";"5.738";"5.738";"4.790";"948";"21";"21"
"LAMBARI";"15.858";"15.858";"13.160";"2.698";"48";"48"
"PAULO LOPES";"5.728";"5.728";"5.399";"329";"16";"16"
"GOIOXIM";"5.512";"5.512";"4.865";"647";"23";"23"
"CÁCERES";"61.284";"61.284";"46.600";"14.684";"174";"174"
"OLHO D'ÁGUA GRANDE";"3.611";"3.611";"3.414";"197";"10";"10"
"TIETÊ";"27.527";"27.527";"22.427";"5.100";"75";"75"
"PATOS DE MINAS";"103.237";"103.237";"84.887";"18.350";"331";"331"
"MATA DE SÃO JOÃO";"33.012";"33.012";"28.167";"4.845";"97";"97"
"MIRANDIBA";"11.667";"11.667";"10.140";"1.527";"32";"32"
"CÓRREGO DO BOM JESUS";"3.611";"3.611";"3.299";"312";"12";"12"
"BAEPENDI";"15.320";"15.320";"13.273";"2.047";"47";"47"
"PITANGUI";"19.938";"19.938";"17.244";"2.694";"65";"65"
"CERRO NEGRO";"3.041";"3.041";"2.849";"192";"12";"12"
"SERRA AZUL";"6.881";"6.881";"5.985";"896";"17";"17"
"MONTEZUMA";"5.033";"5.033";"4.607";"426";"23";"23"
"BOM JESUS DA PENHA";"3.238";"3.238";"2.878";"360";"10";"10"
"MULUNGU DO MORRO";"9.002";"9.002";"6.914";"2.088";"29";"29"
"ALCANTIL";"4.477";"4.477";"4.030";"447";"15";"15"
"CAJAZEIRINHAS";"3.513";"3.513";"3.131";"382";"11";"11"
"ITAMARATI";"5.854";"5.854";"4.720";"1.134";"19";"19"
"CARATINGA";"60.480";"60.480";"49.268";"11.212";"193";"193"
"MACARANI";"13.389";"13.389";"10.995";"2.394";"43";"43"
"JUPI";"11.053";"11.053";"9.394";"1.659";"37";"37"
"PILAR DE GOIÁS";"2.624";"2.624";"2.444";"180";"13";"13"
"ARACRUZ";"61.685";"61.685";"51.398";"10.287";"184";"184"
"ITAETÉ";"10.152";"10.152";"8.372";"1.780";"38";"38"
"BATATAIS";"42.324";"42.324";"34.875";"7.449";"108";"108"
"SEBASTIÃO LEAL";"3.293";"3.293";"3.025";"268";"12";"12"
"PARAGOMINAS";"64.739";"64.739";"50.208";"14.531";"187";"187"
"COLINAS DO TOCANTINS";"21.930";"21.930";"17.551";"4.379";"70";"70"
"SÃO BENTO DO SAPUCAÍ";"8.761";"8.761";"7.146";"1.615";"24";"24"
"ELISIÁRIO";"2.707";"2.707";"2.425";"282";"8";"8"
"CARAÍBAS";"8.025";"8.025";"6.759";"1.266";"30";"30"
"MIRANGABA";"12.012";"12.012";"9.268";"2.744";"40";"40"
"ASSÚ";"40.518";"40.518";"35.170";"5.348";"116";"116"
"TIBAU DO SUL";"10.188";"10.188";"9.166";"1.022";"31";"31"
"SALVADOR DAS MISSÕES";"2.542";"2.542";"2.441";"101";"12";"12"
"ITAPEJARA D'OESTE";"8.513";"8.513";"7.719";"794";"28";"28"
"NÍSIA FLORESTA";"17.047";"17.047";"15.671";"1.376";"53";"53"
"BONINAL";"9.646";"9.646";"7.537";"2.109";"37";"37"
"TUPÃSSI";"6.393";"6.393";"5.728";"665";"21";"21"
"BELÉM DE MARIA";"8.781";"8.781";"7.586";"1.195";"29";"29"
"SANTO ANTÔNIO DE LISBOA";"4.968";"4.968";"4.407";"561";"14";"14"
"CAMPINORTE";"9.070";"9.070";"7.800";"1.270";"25";"25"
"ITUMBIARA";"70.240";"70.240";"58.230";"12.010";"218";"218"
"SÃO ROBERTO";"4.288";"4.288";"3.591";"697";"16";"16"
"TERRA SANTA";"11.372";"11.372";"9.639";"1.733";"37";"37"
"POÇO DE JOSÉ DE MOURA";"3.895";"3.895";"3.539";"356";"14";"14"
"TACIBA";"5.050";"5.050";"4.555";"495";"16";"16"
"CRUZÁLIA";"2.243";"2.243";"2.064";"179";"6";"6"
"ESTAÇÃO";"5.106";"5.106";"4.626";"480";"16";"16"
"FAXINAL";"11.700";"11.700";"10.094";"1.606";"42";"42"
"SANTA ISABEL DO IVAÍ";"7.125";"7.125";"5.978";"1.147";"30";"30"
"ILHA GRANDE";"7.331";"7.331";"6.046";"1.285";"27";"27"
"REDENÇÃO DO GURGUÉIA";"6.472";"6.472";"5.554";"918";"19";"19"
"ESMERALDAS";"39.291";"39.291";"32.770";"6.521";"119";"119"
"IOMERÊ";"2.999";"2.999";"2.723";"276";"8";"8"
"CARAMBEÍ";"14.222";"14.222";"12.436";"1.786";"39";"39"
"SÃO BENEDITO DO SUL";"8.383";"8.383";"6.288";"2.095";"26";"26"
"CEDRAL";"14.721";"14.721";"12.688";"2.033";"46";"46"
"MATURÉIA";"5.223";"5.223";"4.400";"823";"19";"19"
"PRIMAVERA DE RONDÔNIA";"3.376";"3.376";"2.879";"497";"12";"12"
"JAGUARIÚNA";"34.467";"34.467";"29.222";"5.245";"85";"85"
"RIO DAS PEDRAS";"24.125";"24.125";"20.653";"3.472";"65";"65"
"GOVERNADOR LINDENBERG";"9.002";"9.002";"7.851";"1.151";"25";"25"
"SANTO HIPÓLITO";"3.280";"3.280";"2.640";"640";"10";"10"
"BOA VISTA DO INCRA";"2.197";"2.197";"2.095";"102";"8";"8"
"CHUVISCA";"4.094";"4.094";"3.871";"223";"14";"14"
"CRUZEIRO DO SUL";"63.650";"63.650";"50.768";"12.882";"227";"227"
"MASSAPÊ DO PIAUÍ";"5.830";"5.830";"4.878";"952";"20";"20"
"PEQUI";"3.595";"3.595";"3.317";"278";"12";"12"
"GUARANÉSIA";"14.703";"14.703";"12.605";"2.098";"40";"40"
"RONDONÓPOLIS";"138.842";"138.842";"113.441";"25.401";"376";"376"
"REDENÇÃO";"76.992";"76.992";"61.939";"15.053";"242";"242"
"LAJEADO GRANDE";"1.603";"1.603";"1.538";"65";"6";"6"
"XANXERÊ";"32.419";"32.419";"28.054";"4.365";"96";"96"
"LACERDÓPOLIS";"2.035";"2.035";"1.937";"98";"8";"8"
"EIRUNEPÉ";"20.066";"20.066";"14.254";"5.812";"60";"60"
"PALMEIRINA";"6.918";"6.918";"5.226";"1.692";"23";"23"
"PRESIDENTE JUSCELINO";"13.076";"13.076";"10.587";"2.489";"45";"45"
"ARAME";"20.921";"20.921";"17.018";"3.903";"72";"72"
"MARIANA PIMENTEL";"3.613";"3.613";"3.283";"330";"11";"11"
"CAMETÁ";"78.134";"78.134";"66.883";"11.251";"270";"270"
"PORTO CALVO";"17.127";"17.127";"15.856";"1.271";"60";"60"
"TIMBAÚBA DOS BATISTAS";"2.213";"2.213";"2.150";"63";"6";"6"
"ALTO BOA VISTA";"3.568";"3.568";"2.883";"685";"11";"11"
"PENÁPOLIS";"45.208";"45.208";"36.297";"8.911";"121";"121"
"DAMOLÂNDIA";"3.275";"3.275";"3.077";"198";"11";"11"
"ÁLVARES FLORENCE";"3.806";"3.806";"3.539";"267";"11";"11"
"SALVADOR";"1.881.544";"1.881.544";"1.506.522";"375.022";"4.507";"4.507"
"JAGUARIPE";"11.859";"11.859";"10.432";"1.427";"39";"39"
"SERRA DO RAMALHO";"24.219";"24.219";"17.643";"6.576";"83";"83"
"SÃO MIGUEL DAS MISSÕES";"6.041";"6.041";"5.338";"703";"20";"20"
"ITABAIANA";"76.921";"76.921";"71.418";"5.503";"238";"238"
"POÇO FUNDO";"12.567";"12.567";"11.117";"1.450";"33";"33"
"SÃO FRANCISCO DE ITABAPOANA";"35.617";"35.617";"29.219";"6.398";"106";"106"
"BAÍA FORMOSA";"7.398";"7.398";"6.234";"1.164";"21";"21"
"ITAPETINGA";"42.912";"42.912";"36.682";"6.230";"128";"128"
"NOVO HORIZONTE DO OESTE";"7.994";"7.994";"6.614";"1.380";"29";"29"
"ITAPETININGA";"101.901";"101.901";"83.331";"18.570";"280";"280"
"CERRITO";"5.593";"5.593";"4.973";"620";"24";"24"
"FELIZ NATAL";"6.237";"6.237";"4.851";"1.386";"15";"15"
"PIRAPOZINHO";"19.942";"19.942";"16.347";"3.595";"57";"57"
"MANDURI";"7.263";"7.263";"6.000";"1.263";"21";"21"
"POTÉ";"12.495";"12.495";"9.559";"2.936";"42";"42"
"ENTRE RIOS DE MINAS";"11.222";"11.222";"10.016";"1.206";"40";"40"
"AQUIDAUANA";"34.226";"34.226";"26.870";"7.356";"124";"124"
"JAURU";"8.277";"8.277";"6.581";"1.696";"19";"19"
